,HS 1996 Product Code,HS 1996 Product Description,cluster_labels
3,104,Live sheep and goats.,12
7,202,"Meat of bovine animals, frozen.",12
9,204,"Meat of sheep or goats, fresh, chilled or frozen.",12
10,205,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.",12
17,302,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading No. 03.04.",12
18,303,"Fish, frozen, excluding fish fillets and other fish meat of heading No. 03.04.",12
19,304,"Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen.",12
20,305,"Fish, dried, salted or in brine; smoked fish, whether or not cooked before or during the smoking process; flours, meals and pellets of fish, fit for human consumption.",12
21,306,"Crustaceans, whether in shell or not, live, fresh chilled, frozen, dried, salted or in brine; crustaceans, in shell, cooked by steaming or by boiling in water, whether or not chilled, frozen, dried, salted or in brine; flours, meals and",12
22,307,"Molluscs, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; aquatic invertebrates other than crustaceans and molluscs, live, fresh, chilled, frozen, dried, salted or in brine; flours, meals and pellets of",12
42,510,"Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other animal products used in the preparation of pharmaceutical products, fresh, chilled, frozen or otherwise provisionally prese",12
49,702,"Tomatoes, fresh or chilled.",12
50,703,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled.",12
54,707,"Cucumbers and gherkins, fresh or chilled.",12
55,708,"Leguminous vegetables, shelled or unshelled, fresh or chilled.",12
56,709,"Other vegetables, fresh or chilled.",12
60,713,"Dried leguminous vegetables, shelled, whether or not skinned or split.",12
61,714,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith",12
62,801,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled.",12
63,802,"Other nuts, fresh or dried, whether or not shelled or peeled.",12
64,803,"Bananas, including plantains, fresh or dried.",12
65,804,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried.",12
66,805,"Citrus fruit, fresh or dried.",12
67,806,"Grapes, fresh or dried.",12
68,807,"Melons (including watermelons) and papaws (papayas), fresh.",12
70,809,"Apricots, cherries, peaches (including nectarines), plums and sloes, fresh.",12
71,810,"Other fruit, fresh.",12
75,814,"Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",12
76,901,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion.",12
77,902,"Tea, whether or not flavoured.",12
79,904,Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the genus Pimenta.,12
85,910,"Ginger, saffron, turmeric (curcuma), thyme, bay leaves, curry and other spices.",12
90,1005,Maize (corn).,12
91,1006,Rice.,12
94,1101,Wheat or meslin flour.,12
95,1102,Cereal flours other than of wheat or meslin.,12
99,1106,"Flour, meal and powder of the dried leguminous vegetables of heading No. 07.13, of sago or of roots or tubers of heading No. 07.14 or of the products of Chapter 8.",12
104,1202,"Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken.",12
106,1204,"Linseed, whether or not broken.",12
109,1207,"Other oil seeds and oleaginous fruits, whether or not broken.",12
110,1208,"Flours and meals of oil seeds or oleaginous fruits, other than those of mustard.",12
113,1211,"Plants and parts of plants (including seeds and fruits), of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh or dried, whether or not cut, crushed or powdered.",12
114,1212,"Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit stones and kernels and other vegetable products (including unroasted chicory roots of the variety Cichorium",12
117,1301,"Lac; natural gums, resins, gum-resins and oleoresins (for example, balsams).",12
122,1404,Vegetable products not elsewhere specified or included.,12
124,1502,"Fats of bovine animals, sheep or goats, other than those of heading No. 15.03.",12
129,1507,"Soya-bean oil and its fractions, whether or not refined, but not chemically modified.",12
134,1512,"Sunflower-seed, safflower or cotton-seed oil and fractions thereof, whether or not refined, but not chemically modified.",12
138,1516,"Animal or vegetable fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared.",12
142,1521,"Vegetable waxes (other than triglycerides), beeswax, other insect waxes and spermaceti, whether or not refined or coloured.",12
147,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs.,12
148,1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved.",12
149,1701,"Cane or beet sugar and chemically pure sucrose, in solid form.",12
151,1703,Molasses resulting from the extraction or refining of sugar.,12
160,1902,"Pasta, whether or not cooked or stuffed (with meat or other substances) or otherwise prepared, such as spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not prepared.",12
