,HS 1996 Product Code,HS 1996 Product Description,cluster_labels
44,601,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower; chicory plants and roots other than roots of heading No. 12.12.",11
126,1504,"Fats and oils and their fractions, of fish or marine mammals, whether or not refined, but not chemically modified.",11
128,1506,"Other animal fats and oils and their fractions, whether or not refined, but not chemically modified.",11
146,1603,"Extracts and juices of meat, fish or crustaceans, molluscs or other aquatic invertebrates.",11
155,1803,"Cocoa paste, whether or not defatted.",11
156,1804,"Cocoa butter, fat and oil.",11
157,1805,"Cocoa powder, not containing added sugar or other sweetening matter.",11
275,2809,Diphosphorus pentaoxide; phosphoric acid and polyphosphoric acids.,11
306,2840,Borates; peroxoborates (perborates),11
317,2851,"Other inorganic compounds (including distilled or conductivity water and water of similar purity); liquid air (whether or not rare gases have been removed); compressed air; amalgams, other than amalgams of precious metals",11
400,3501,"Casein, caseinates and other casein derivatives; casein glues.",11
407,3601,Propellent powders.,11
422,3803,"Tall oil, whether or not refined.",11
424,3805,"Gum, wood or sulphate turpentine and other terpenic oils produced by the distillation or other treatment of coniferous woods; crude dipentene; sulphite turpentine and other crude para-cymene; pine oil containing alpha-terpine",11
426,3807,"Wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewers' pitch and similar preparations based on rosin, resin acids or on vegetable pitch.",11
504,4301,"Raw furskins (including heads, tails, paws and other pieces or cuttings, suitable for furriers' use), other than raw hides and skins of heading No. 41.01, 41.02 or 41.03.",11
535,4701,Mechanical wood pulp.,11
537,4703,"Chemical wood pulp, soda or sulphate, other than dissolving grades.",11
675,5908,"Textile wicks, woven, plaited or knitted, for lamps, stoves, lighters, candles or the like; incandescent gas mantles and tubular knitted gas mantle fabric therefor, whether or not impregnated.",11
765,6906,"Ceramic pipes, conduits, guttering and pipe fittings.",11
799,7106,"Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder form.",11
867,7401,Copper mattes; cement copper (precipitated copper).,11
913,7804,"Lead plates, sheets, strip and foil; lead powders and flakes.",11
918,7903,"Zinc dust, powders and flakes.",11
920,7905,"Zinc plates, sheets, strip and foil.",11
936,8107,"Cadmium and articles thereof, including waste and scrap.",11
1103,8602,Other rail locomotives; locomotive tenders.,11
1120,8710,"Tanks and other armoured fighting vehicles, motorised, whether or not fitted with weapons, and parts of such vehicles.",11
1127,8801,"Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",11
1196,9301,"Military weapons, other than revolvers, pistols and the arms of heading No. 93.07.",11
1201,9306,"Bombs, grenades, torpedoes, mines, missiles and similar munitions of war and parts thereof; cartridges and other ammunition and projectiles and parts thereof, including shot and cartridge wads.",11
1241,9999,  UN Special Code,11
