,HS_code,HS_description,cluster_labels
281,2815,Sodium hydroxide (caustic soda); potassium hydroxide (caustic potash); peroxides of sodium or potassium,12
313,2847,"Hydrogen peroxyde, whether or not solidified with urea",12
318,2901,Acyclic hydrocarbons,12
322,2905,"Acyclic alcohols and their halogenated, sulphonated, nitrated or introsated derivatives",12
331,2914,"Ketones and quinones, whether or not with other oxygen function, and their halogenated, sulphonated, nitrated or nitrosated derivatives.",12
333,2916,"Unsaturated acyclic monocarboxylic acids, cyclic monocarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives.",12
396,3404,Artificial waxes and prepared waxes.,12
444,3901,"Polymers of ethylene, in primary forms.",12
445,3902,"Polymers of propylene or of other olefins, in primary forms.",12
446,3903,"Polymers of styrene, in primary forms.",12
447,3904,"Polymers of vinyl chloride or of other halogenated olefins, in primary forms.",12
448,3905,"Polymers of vinyl acetate or of other vinyl esters, in primary forms; other vinyl polymers in primary forms.",12
449,3906,Acrylic polymers in primary forms.,12
450,3907,"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms.",12
451,3908,Polyamides in primary forms.,12
452,3909,"Amino-resins, phenolic resins and polyurethanes, in primary forms.",12
455,3912,"Cellulose and its chemical derivatives, not elsewhere specified or included, in primary forms.",12
536,4702,"Chemical wood pulp, dissolving grades.",12
543,4802,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, and punch card stock and punch tape paper, in rolls or sheets, other than paper of heading No. 48.01 or 48.03; hand-made pa",12
622,5404,Synthetic monofilament of 67 decitex or more and of which no cross-sectional dimension exceeds 1 mm; strip and the,12
830,7219,"Flat-rolled products of stainless steel, of a width of 600 mm or more.",12
831,7220,"Flat-rolled products of stainless steel, of a width of less than 600 mm.",12
834,7223,Wire of stainless steel.,12
