,HS_code,HS_description,cluster_labels
73,812,"Fruit and nuts, provisionally preserved (for example, by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption.",18
601,5206,"Cotton yarn (other than sewing thread), containing less than 85 % by weight of cotton, not put up for retail sale.",18
603,5208,"Woven fabrics of cotton, containing 85 % or more by weight  of cotton, weighing not more than 200 g/m2.",18
604,5209,"Woven fabrics of cotton, containing 85 % or more by weight of cotton, weighing more than 200 g/m2.",18
605,5210,"Woven fabrics of cotton, containing less than 85 % by weight of cotton, mixed mainly or solely with man-made  fibres, weighing not more than 200 g/m2.",18
606,5211,"Woven fabrics of cotton, containing less than 85 % by weight of cotton, mixed mainly or solely with man-made  fibres, weighing more than 200 g/m2.",18
625,5407,"Woven fabrics of synthetic filament yarn, including woven fabrics obtained from materials of heading No. 54.04.",18
634,5508,"Sewing thread of man-made staple fibres, whether or not put up for retail sale.",18
636,5510,"Yarn (other than sewing thread) of artificial staple fibres, not put up for retail sale.",18
641,5515,Other woven fabrics of synthetic staple fibres.,18
642,5516,Woven fabrics of artificial staple fibres.,18
658,5802,"Terry towelling and similar woven terry fabrics, other than narrow fabrics of heading No. 58.06; tufted textile fabrics, other than products of heading No. 57.03.",18
660,5804,"Tulles and other net fabrics, not including woven, knitted or crocheted fabrics; lace in the piece, in strips or in motifs, other than fabrics of heading No. 60.02.",18
663,5807,"Labels, badges and similar articles of textile materials, in the piece, in strips or cut to shape or size, not embroidered.",18
666,5810,"Embroidery in the piece, in strips or in motifs.",18
680,6002,Other knitted or crocheted fabrics.,18
697,6117,"Other made up clothing accessories, knitted or crocheted; knitted or crocheted parts of garments or of clothing accessories.",18
710,6213,Handkerchiefs.,18
711,6214,"Shawls, scarves, mufflers, mantillas, veils and the like.",18
716,6302,"Bed linen, table linen, toilet linen and kitchen linen.",18
718,6304,"Other furnishing articles, excluding those of heading No. 94.04.",18
746,6802,"Worked monumental or building stone (except slate) and articles thereof, other than goods of heading No.68.01; mosaic cubes and the like, of natural stone (including slate), whether or not on a backing; artificially coloured granules, c",18
766,6907,"Unglazed ceramic flags and paving, hearth or wall tiles; unglazed ceramic mosaic cubes and the like, whether or not",18
769,6910,"Ceramic sinks, wash basins, wash basin pedestals, baths, bidets, water closet pans, flushing cisterns, urinals and similar sanitary fixtures.",18
908,7615,"Table, kitchen or other household articles and parts thereof, of aluminium; pot scourers and scouring or polishing pads, gloves and the like, of aluminium; sanitary ware and parts thereof, of aluminium.",18
1185,9113,"Watch straps, watch bands and watch bracelets, and parts thereof.",18
1222,9606,"Buttons, press-fasteners, snap-fasteners and press-studs, button moulds and other parts of these articles; button blanks.",18
1223,9607,Slide fasteners and parts thereof.,18
