,HS 1996 Product Code,HS 1996 Product Description,cluster_labels
112,1210,"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin.",6
377,3207,"Prepared pigments, prepared and prepared colours, vitrifiable enamels and glazes, engobes (slips), liquid lustres and similar preparations, of a kind used in the ceramic, enamelling or glass industry; glass frit and other glass, in the",6
538,4704,"Chemical wood pulp, sulphite, other than dissolving grades.",6
542,4801,"Newsprint, in rolls or sheets.",6
547,4806,"Vegetable parchment, greaseproof papers, tracing papers and glassine and other glazed transparent or translucent papers, in rolls or sheets.",6
548,4807,"Composite paper and paperboard (made by sticking flat layers of paper or paperboard together with an adhesive), not surface-coated or impregnated, whether or not internally reinforced, in rolls or sheets.",6
551,4810,"Paper and paperboard, coated on one or both sides with kaolin (China clay) or other inorganic substances, with or without a binder, and with no other coating, whether or not surface-coloured, surface-decorated or print",6
553,4812,"Filter blocks, slabs and plates, of paper pulp.",6
586,5104,Garnetted stock of wool or of fine or coarse animal hair.,6
591,5109,"Yarn of wool or of fine animal hair, put up for retail sale.",6
655,5704,"Carpets and other textile floor coverings, of felt, not tufted or flocked, whether or not made up.",6
671,5904,"Linoleum, whether or not cut to shape; floor coverings consisting of a coating or covering applied on a textile backing, whether or not cut to shape.",6
677,5910,"Transmission or conveyor belts or belting, of textile material, whether or not impregnated, coated, covered or laminated with plastics, or reinforced with metal or other material.",6
802,7109,"Base metals or silver, clad with gold, not further worked than semi-manufactured.",6
803,7110,"Platinum, unwrought or in semi-manufactured forms, or in powder form.",6
829,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,6
832,7221,"Bars and rods, hot-rolled, in irregularly wound coils, of stainless steel.",6
835,7224,Other alloy steel in ingots or other primary forms; semi-finished products of other alloy steel.,6
837,7226,"Flat-rolled products of other alloy steel, of a width of less than 600 mm.",6
845,7305,"Other tubes and pipes (for example, welded, riveted or similarly closed), having circular cross-sections, the external diameter of which exceeds 406.4 mm, of iron or steel.",6
875,7409,"Copper plates, sheets and strip, of a thickness exceeding 0.15 mm.",6
878,7412,"Copper tube or pipe fittings (for example, couplings, elbows, sleeves).",6
942,8113,"Cermets and articles thereof, including waste and scrap.",6
974,8406,Steam turbines and other vapour turbines.,6
984,8416,"Furnace burners for liquid fuel, for pulverised solid fuel or for gas; mechanical stokers, including their mechanical grates, mechanical ash dischargers and similar appliances.",6
988,8420,"Calendering or other rolling machines, other than for metals or glass, and cylinders therefor.",6
990,8422,"Dish washing machines; machinery for cleaning or drying bottles or other containers; machinery for filling, closing, sealing or labelling bottles, cans,boxes, bags or other containers; machinery for capsuling bottles, jars, tubes and si",6
992,8424,"Mechanical appliances (whether or not hand-operated) for projecting, dispersing or spraving liquids or powders; fire extinguishers, whether or not charged; spray guns and similar appliances; steam or sand blasting machines and similar j",6
1002,8434,Milking machines and dairy machinery.,6
1006,8438,"Machinery, not specified or included elsewhere in this Chapter, for the industrial preparation or manufacture of food or drink, other than machinery for the extraction or preparation of animal or fixed vegetable fats or o",6
1007,8439,Machinery for making pulp of fibrous cellulosic material or for making or finishing paper or paperboard.,6
1009,8441,"Other machinery for making up paper pulp, paper or paperboard, including cutting machines of all kinds.",6
1016,8448,"Auxiliary machinery for use with machines of heading No.84.44, 84.45, 84.46 or 84.47 (for example, dobbies, Jacquards, automatic stop motions, shuttle changing mechanisms); parts and accessories suitable for use solely or principally wi",6
1017,8449,"Machinery for the manufacture or finishing of felt or nonwovens in the piece or in shapes, including machinery for making felt hats; blocks for making hats.",6
1019,8451,"Machinery (other than machines of heading No.84.50) for washing, cleaning, wringing, drying, ironing, pressing (including fusing presses), bleaching, dyeing, dressing, finishing, coating or impregnating textile yarns, fabrics or made up",6
1022,8454,"Converters, ladles, ingot moulds and casting machines, of a kind used in metallurgy or in metal foundries.",6
1023,8455,Metal-rolling mills and rolls therefor.,6
1024,8456,"Machine-tools for working any material by removal of material, by laser or other light or photon beam, ultrasonic, electro-discharge, electro-chemical, electron beam, ionic-beam or plasma arc processes.",6
1025,8457,"Machining centres, unit construction machines (single station) and multi-station transfer machines, for working metal.",6
1026,8458,Lathes (including turning centres) for removing metal.,6
1028,8460,"Machine-tools for deburring, sharpening, grinding,honing, lapping, polishing or otherwise finishing metal or cermets by means of grinding stones, abrasives or polishing products, other than gear cutting, gear grinding or gear finishing",6
1029,8461,"Machine-tools for planing, shaping, slotting, broaching, gear cutting, gear grinding or gear finishing, sawing, cutting-off and other machine-tools working by removing metal or cermets, not elsewhere specified or included",6
1030,8462,"Machine-tools (including presses) for working metal by forging, hammering or die-stamping; machine-tools (including presses) for working metal by bending, folding, straightening, flattening, shearing, punching or notching; presses for w",6
1031,8463,"Other machine-tools for working metal or cermets, without removing material.",6
1032,8464,"Machine-tools for working stone, ceramics, concrete, asbestos-cement or like mineral materials or for cold working glass.",6
1033,8465,"Machine-tools (including machines for nailing, stapling, glueing or otherwise assembling) for working wood, cork, bone, hard rubber, hard plastics or similar hard materials.",6
1045,8477,"Machinery for working rubber or plastics or for the manufacture of products from these materials, not specified or included elsewhere in this Chapter.",6
1068,8515,"Electric (including electrically heated gas), laser or other light or photon beam, ultrasonic, electron beam, magnetic pulse or plasma arc soldering, brazing or welding machines and apparatus, whether or not capable of cutting; electric",6
1102,8601,Rail locomotives powered from an external source of electricity or by electric accumulators.,6
1104,8603,"Self-propelled railway or tramway coaches, vans and trucks, other than those of heading No. 86.04.",6
1105,8604,"Railway or tramway maintenance or service vehicles, whether or not self-propelled (for example, workshops, cranes, ballast tampers, trackliners, testing coaches and track inspection vehicles).",6
1106,8605,"Railway or tramway passenger coaches, not self-propelled; luggage vans, post office coaches and other special purpose railway or tramway coaches, not self-propelled (excluding those of heading No. 86.04).",6
1175,9103,"Clocks with watch movements, excluding clocks of heading No. 91.04.",6
1197,9302,"Revolvers and pistols, other than those of heading No. 93.03 or 93.04.",6
1198,9303,"Other firearms and similar devices which operate by the firing of an explosive charge (e.g., sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revol",6
1199,9304,"Other arms (for example, spring, air or gas guns and pistols, truncheons), excluding those of heading No. 93.07.",6
1200,9305,Parts and accessories of articles of headings Nos. 93.01 to 93.04.,6
