,HS 1996 Product Code,HS 1996 Product Description,cluster_labels
247,2618,Granulated slag (slag sand) from the manufacture of iron or steel.,1
329,2912,"Aldehydes, whether or not with other oxygen function; cyclic polymers of aldehydes; paraformaldehyde.",1
331,2914,"Ketones and quinones, whether or not with other oxygen function, and their halogenated, sulphonated, nitrated or nitrosated derivatives.",1
333,2916,"Unsaturated acyclic monocarboxylic acids, cyclic monocarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives.",1
357,2940,"Sugars, chemically pure, other than sucrose, lactose, maltose, glucose and fructose; sugar ethers and sugar esters, and their salts, other than products of heading No. 29.37, 29.38 or 29.39.",1
372,3202,"Synthetic organic tanning substances; inorganic tanning substances; tanning preparations, whether or not containing natural tanning substances; enzymatic preparations for pre-tanning.",1
376,3206,"Other colouring matter; preparations as specified in Note 3 to this Chapter, other than those of heading No. 32.03, 32.04 or 32.05; inorganic products of a kind used as luminophores, whether or not chemically defined.",1
396,3404,Artificial waxes and prepared waxes.,1
402,3503,"Gelatin (including gelatin in rectangular (including square) sheets, whether or not surface-worked or coloured) and gelatin derivatives; isinglass; other glues of animal origin, excluding casein glues of heading No. 35.01.",1
404,3505,"Dextrins and other modified starches (for example, pregelatinised or esterified starches); glues based on starches, or on dextrins or other modified starches.",1
405,3506,"Prepared glues and other prepared adhesives, not elsewhere specified or included; products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding a net weight of 1 kg.",1
418,3706,"Cinematographic film, exposed and developed, whether or not incorporating sound track or consisting only of sound track.",1
420,3801,"Artificial graphite; colloidal or semi-colloidal graphite; preparations based on graphite or other carbon in the form of pastes, blocks, plates or other semi-manufactures.",1
429,3810,Pickling preparations for metal surfaces; fluxes,1
431,3812,"Prepared rubber accelerators; compound plasticisers for rubber or plastics, not elsewhere specified or included; anti-oxidising preparations and other compound stabilisers for rubber or plastics.",1
448,3905,"Polymers of vinyl acetate or of other vinyl esters, in primary forms; other vinyl polymers in primary forms.",1
449,3906,Acrylic polymers in primary forms.,1
450,3907,"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms.",1
451,3908,Polyamides in primary forms.,1
452,3909,"Amino-resins, phenolic resins and polyurethanes, in primary forms.",1
455,3912,"Cellulose and its chemical derivatives, not elsewhere specified or included, in primary forms.",1
457,3914,"Ion-exchangers based on polymers of headings Nos. 39.01 to 39.13, in primary forms.",1
462,3919,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether or not in rolls.",1
536,4702,"Chemical wood pulp, dissolving grades.",1
543,4802,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, and punch card stock and punch tape paper, in rolls or sheets, other than paper of heading No. 48.01 or 48.03; hand-made pa",1
581,5006,"Silk yarn and yarn spun from silk waste, put up for retail sale; silk-worm gut.",1
622,5404,Synthetic monofilament of 67 decitex or more and of which no cross-sectional dimension exceeds 1 mm; strip and the,1
757,6813,"Friction material and articles thereof (for example, sheets, rolls, strips, segments, discs, washers, pads), not",1
758,6814,"Worked mica and articles of mica, including agglomerated or reconstituted mica, whether or not on a support of paper, paperboard or other materials.",1
762,6903,"Other refractory ceramic goods (for example, retorts, crucibles, muffles, nozzles, plugs, supports, cupels, tubes, pipes, sheaths and rods), other than those of siliceous fossil meals or of similar siliceous earths.",1
768,6909,"Ceramic wares for laboratory, chemical or other technical uses; ceramic troughs, tubs and similar receptacles of a kind used in agriculture; ceramic pots, jars and similar articles of a kind used for the conveyance or packin",1
790,7017,"Laboratory, hygienic or pharmaceutical glassware, whether or not graduated or calibrated.",1
808,7115,Other articles of precious metal or of metal clad with precious metal.,1
816,7205,"Granules and powders, of pig iron, spiegeleisen, iron or steel.",1
830,7219,"Flat-rolled products of stainless steel, of a width of 600 mm or more.",1
831,7220,"Flat-rolled products of stainless steel, of a width of less than 600 mm.",1
834,7223,Wire of stainless steel.,1
842,7302,"Railway or tramway track construction material of iron or steel, the following: rails, check-rails and rack rails, switch blades, crossing frogs, point rods and other crossing pieces, sleepers (cross-ties), fish-plates, chairs, chair we",1
888,7503,Nickel waste and scrap.,1
893,7508,Other articles of nickel.,1
930,8101,"Tungsten (wolfram) and articles thereof, including waste and scrap.",1
1043,8475,"Machines for assembling electric or electronic lamps, tubes or valves or flashbulbs, in glass envelopes; machines for manufacturing or hot working glass or glassware.",1
1047,8479,"Machines and mechanical appliances having individual functions, not specified or included elsewhere in this Chapter.",1
1052,8484,"Gaskets and similar joints of metal sheeting combined with other material or of two or more layers of metal; sets or assortments of gaskets and similar joints, dissimilar in composition, put up in pouches, envelopes or si",1
1067,8514,Industrial or laboratory electric (including induction or dielectric) furnaces and ovens; other industrial or laboratory induction or dielectric heating equipment.,1
1077,8524,"Records, tapes and other recorded media for sound or other similarly recorded phenomena, including matrices and masters for the production of records, but excluding products of Chapter 37.",1
1093,8540,"Thermionic, cold cathode or photo-cathode valves and tubes (for example, vacuum or vapour or gas filled valves and tubes, mercury arc rectifying valves and tubes, cathode-ray tubes, television camera tubes).",1
