,HS 1996 Product Code,HS 1996 Product Description,cluster_labels
34,502,"Pigs', hogs' or boars' bristles and hair; badger hair and other brush making hair; waste of such bristles or hair.",15
35,503,"Horsehair and horsehair waste, whether or not put up as a layer with or without supporting material.",15
41,509,Natural sponges of animal origin.,15
78,903,Mate,15
120,1402,"Vegetable materials of a kind used primarily as stuffing or as padding (for example, kapok, vegetable hair and eel-grass), whether or not put up as a layer with or without supporting material.",15
121,1403,"Vegetable materials of a kind used primarily in brooms or in brushes (for example, broomcorn, piassava, couch-grass and istle), whether or not in hanks or bundles.",15
154,1802,"Cocoa shells, husks, skins and other cocoa waste.",15
223,2524,Asbestos.,15
226,2527,Natural cryolite; natural chiolite.,15
227,2528,"Natural borates and concentrates thereof (whether or not calcined), but not including borates separated from natural brine; natural boric acid containing not more than 85 % of H3BO3 calculated on the dry weight.",15
231,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20 % or more, calculated on the dry weight.",15
239,2610,Chromium ores and concentrates.,15
241,2612,Uranium or thorium ores and concentrates.,15
276,2810,Oxides of boron; boric acids.,15
304,2838,"Fulminates, cyanates and thiocyanates",15
501,4204,"Articles of leather or of composition leather, of a kind used in machinery or mechanical appliances or for other technical uses.",15
556,4815,"Floor coverings on a base of paper or of paperboard, whether or not cut to size.",15
611,5304,"Sisal and other textile fibres of the genus Agave, raw or processed but not spun; tow and waste of these fibres (including yarn waste and garnetted stock).",15
617,5310,Woven fabrics of jute or of other textile bast fibres of heading No. 53.03.,15
733,6503,"Felt hats and other felt headgear, made from the hat bodies, hoods or plateaux of heading No. 65.01, whether or not lined or trimmed.",15
785,7012,Glass inners for vacuum flasks or for other vacuum vessels.,15
880,7414,"Cloth (including endless bands), grill and netting, of copper wire; expanded metal of copper.",15
882,7416,Copper springs.,15
883,7417,"Cooking or heating apparatus of a kind used for domestic purposes, non-electric, and parts thereof, of copper.",15
912,7803,"Lead bars, rods, profiles and wire.",15
914,7805,"Lead tubes, pipes and tube or pipe fittings (for example, couplings, elbows, sleeves).",15
921,7906,"Zinc tubes, pipes and tube or pipe fittings (for example, couplings, elbows, sleeves).",15
926,8004,"Tin plates, sheets and strip, of a thickness exceeding 0.2 mm.",15
927,8005,"Tin foil (whether or not printed or backed with paper, paperboard, plastics or similar backing materials), of a thickness (excluding any backing) not exceeding 0.2 mm; tin powders and flakes.",15
928,8006,"Tin tubes, pipes and tube or pipe fittings (for example, couplings, elbows, sleeves).",15
1139,8908,Vessels and other floating structures for breaking up.,15
1189,9203,Keyboard pipe organs; harmoniums and similar keyboard instruments with free metal reeds.,15
1190,9204,Accordions and similar instruments; mouth organs.,15
1209,9501,"Wheeled toys designed to be ridden by children (for example, tricycles, scooters, pedal cars); dolls' carriages.",15
1210,9502,Dolls representing only human beings.,15
