,HS 1996 Product Code,HS 1996 Product Description,cluster_labels
201,2502,Unroasted iron pyrites.,18
345,2928,Organic derivatives of hydrazine or of hydroxylamine.,18
497,4111,"Composition leather with a basis of leather or leather fibre, in slabs, sheets or strip, whether or not in rolls.",18
499,4202,"Trunks, suit-cases, vanity-cases, executive-cases, brief-cases, school satchels, spectacle cases, binocular cases, camera cases, musical instrument cases, gun cases, holsters and similar containers; travelling-bags, toilet bags, rucksac",18
572,4908,Transfers (decalcomanias).,18
582,5007,Woven fabrics of silk or of silk waste.,18
593,5111,Woven fabrics of carded wool or of carded fine animal hair.,18
594,5112,Woven fabrics of combed wool or of combed fine animal hair.,18
595,5113,Woven fabrics of coarse animal hair or of horsehair.,18
616,5309,Woven fabrics of flax.,18
633,5507,"Artificial staple fibres, carded, combed or otherwise processed for spinning.",18
657,5801,"Woven pile fabrics and chenille fabrics, other than fabrics of heading No. 58.02 or 58.06.",18
670,5903,"Textile fabrics impregnated, coated, covered or laminated with plastics, other than those of heading No. 59.02.",18
672,5905,Textile wall coverings.,18
712,6215,"Ties, bow ties and cravats.",18
789,7016,"Paving blocks, slabs, bricks, squares, tiles and other articles of pressed or moulded glass, whether or not wired, of a kind used for building or construction purposes; glass cubes and and other glass smallwares, whether or not on a bac",18
972,8404,"Auxiliary plant for use with boilers of heading No. 84.02 or 84.03 (for example, economisers, super-heaters, soot removers, gas recoverers); condensers for steam or other vapour power units.",18
973,8405,"Producer gas or water gas generators, with or without their purifiers; acetylene gas generators and similar water process gas generators, with or without their purifiers.",18
991,8423,"Weighing machinery (excluding balances of a sensitivity of 5 cg or better), including weight operated counting or checking machines; weighing machine weights of all kinds.",18
1008,8440,"Book-binding machinery, including book-sewing machines.",18
1014,8446,Weaving machines (looms).,18
1021,8453,"Machinery for preparing, tanning or working hides, skins or leather or for making or repairing footwear or other articles of hides, skins or leather, other than sewing machines.",18
1132,8901,"Cruise ships, excursion boats, ferry-boats, cargo ships, barges and similar vessels for the transport of persons or goods.",18
1142,9003,"Frames and mountings for spectacles, goggles or the like, and parts thereof.",18
1143,9004,"Spectacles, goggles and the like, corrective, protective or other.",18
1173,9101,"Wrist-watches, pocket-watches and other watches, including stop-watches, with case of precious metal or of metal clad with precious metal.",18
1179,9107,Time switches with clock or watch movement or with synchronous motor.,18
1184,9112,"Clock cases and cases of a similar type for other goods of this Chapter, and parts thereof.",18
1185,9113,"Watch straps, watch bands and watch bracelets, and parts thereof.",18
1227,9611,"Date, sealing or numbering stamps, and the like (including devices for printing or embossing labels), designed for operating in the hand; hand-operated composing sticks and hand printing sets incorporating such composing st",18
1232,9616,"Scent sprays and similar toilet sprays, and mounts and heads therefor; powder-puffs and pads for the application of cosmetics or toilet preparations.",18
