,HS 1996 Product Code,HS 1996 Product Description,cluster_labels
125,1503,"Lard stearin, lard oil, oleostearin, oleo-oil and tallow oil, not emulsified or mixed or otherwise prepared.",20
234,2605,Cobalt ores and concentrates.,20
242,2613,Molybdenum ores and concentrates.,20
255,2705,"Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons.",20
267,2801,"Fluorine, chlorine, bromine and iodine.",20
279,2813,Sulphides of non-metals; commercial phosphorus trisulphide,20
288,2822,Cobalt oxides and hydroxides; commercial cobalt oxides,20
297,2831,Dithionites and sulphoxylates,20
310,2844,Radioactive chemical elements and radioactive isotopes (including the fissile or fertile chemical elements and isotopes) and their coumpounds; mixtures and residues containing these products,20
311,2845,"Isotopes other than those of heading No. 28.44; compounds, inorganic or organic, of such isotopes, whether or not chemically defined",20
350,2933,Heterocyclic compounds with nitrogen hetero-atom(s) only.,20
352,2935,Sulphonamides.,20
354,2937,"Hormones, natural or reproduced by synthesis; derivatives thereof, used primarily as hormones; other steroids used primarily as hormones.",20
359,2942,Other organic compounds.,20
375,3205,Colour lakes; preparations as specified in Note 3 to this Chapter based on colour lakes.,20
387,3302,"Mixtures of odoriferous substances and mixtures (including alcoholic solutions) with a basis of one or more of these substances, of a kind used as raw materials in industry; other preparations based on odoriferous substances, of a kind",20
415,3703,"Photographic paper, paperboard and textiles, sensitised, unexposed.",20
430,3811,"Anti-knock preparations, oxidation inhibitors, gum inhibitors, viscosity improvers, anti-corrosive preparations and other prepared additives, for mineral oils (including gasoline) or for other liquids used for the same purpos",20
576,5001,Silk-worm cocoons suitable for reeling.,20
592,5110,"Yarn of coarse animal hair or of horsehair (including gimped horsehair yarn), whether or not put up for retail sale.",20
608,5301,"Flax, raw or processed but not spun; flax tow and waste (including yarn waste and garnetted stock).",20
628,5502,Artificial filament tow.,20
814,7203,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99.94 %, in lumps, pellets or similar forms.",20
871,7405,Master alloys of copper.,20
887,7502,Unwrought nickel.,20
889,7504,Nickel powders and flakes.,20
934,8105,"Cobalt mattes and other intermediate products of cobalt metallurgy; cobalt and articles thereof, including waste and scrap.",20
937,8108,"Titanium and articles thereof, including waste and scrap.",20
938,8109,"Zirconium and articles thereof, including waste and scrap.",20
941,8112,"Beryllium, chromium, germanium, vanadium, gallium, hafnium, indium, niobium (columbium), rhenium and thallium, and articles of these metals, including waste and scrap.",20
969,8401,"Nuclear reactors; fuel elements (cartridges), non-irradiated, for nuclear reactors; machinery and apparatus for isotopic separation.",20
979,8411,"Turbo-jets, turbo-propellers and other gas turbines.",20
1131,8805,Aircraft launching gear; deck-arrestor or similar gear; ground flying trainers; parts of the foregoing articles.,20
1235,9701,"Paintings, drawings and pastels, executed entirely by hand, other than drawings of heading No. 49.06 and other than hand-painted or hand-decorated manufactured articles; collages and similar decorative plaques.",20
1236,9702,"Original engravings, prints and lithographs.",20
1237,9703,"Original sculptures and statuary, in any material.",20
1238,9704,"Postage or revenue stamps, stamp-postmarks, first-day covers, postal stationery (stamped paper), and the like, used, or if unused not of current or new issue in the country to which they are destined.",20
1239,9705,"Collections and collectors' pieces of zoological, botanical, mineralogical, anatomical, historical, archaeological, palaeontological, ethnographic or numismatic interest.",20
1240,9706,Antiques of an age exceeding one hundred years.,20
