,HS 1996 Product Code,HS 1996 Product Description,cluster_labels
332,2915,"Saturated acyclic monocarboxylic acids and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives.",8
339,2922,Oxygen-function amino-compounds.,8
416,3704,"Photographic plates, film, paper, paperboard and textiles, exposed but not developed.",8
442,3823,Industrial monocarboxylic fatty acids; acid oils from refining; industrial fatty alcohols.,8
471,4002,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; mixtures of any product of heading No. 40.01 with any product of this heading, in primary forms or in plates, sheets or st",8
557,4816,"Carbon paper, self-copy paper and other copying or transfer papers (other than those of heading No. 48.09), duplicator stencils and offset plates, of paper, whether or not put up in boxes.",8
923,8001,Unwrought tin.,8
925,8003,"Tin bars, rods, profiles and wire.",8
1011,8443,"Printing machinery, including ink-jet printing machines, other than those of heading No. 84.71; machines for uses ancillary to printing.",8
1020,8452,"Sewing machines, other than book-sewing machines of heading No. 84.40; furniture, bases and covers specially designed for sewing machines; sewing machine needles.",8
1059,8506,Primary cells and primary batteries.,8
1076,8523,"Prepared unrecorded media for sound recording or similar recording of other phenomena, other than products of Chapter 37.",8
1140,9001,"Optical fibres and optical fibre bundles; optical fibre cables other than those of heading No.85.44; sheets and plates of polarising material; lenses (including contact lenses), prisms, mirrors and other optical elements, of any materia",8
1193,9207,"Musical instruments, the sound of which is produced, or must be amplified, electrically (for example, organs,  guitars, accordions).",8
