,HS_code,HS_description,cluster_labels
3,104,Live sheep and goats.,2
7,202,"Meat of bovine animals, frozen.",2
9,204,"Meat of sheep or goats, fresh, chilled or frozen.",2
16,301,Live fish.,2
17,302,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading No. 03.04.",2
18,303,"Fish, frozen, excluding fish fillets and other fish meat of heading No. 03.04.",2
19,304,"Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen.",2
20,305,"Fish, dried, salted or in brine; smoked fish, whether or not cooked before or during the smoking process; flours, meals and pellets of fish, fit for human consumption.",2
21,306,"Crustaceans, whether in shell or not, live, fresh chilled, frozen, dried, salted or in brine; crustaceans, in shell, cooked by steaming or by boiling in water, whether or not chilled, frozen, dried, salted or in brine; flours, meals and",2
22,307,"Molluscs, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; aquatic invertebrates other than crustaceans and molluscs, live, fresh, chilled, frozen, dried, salted or in brine; flours, meals and pellets of",2
42,510,"Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other animal products used in the preparation of pharmaceutical products, fresh, chilled, frozen or otherwise provisionally prese",2
46,603,"Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared.",2
49,702,"Tomatoes, fresh or chilled.",2
50,703,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled.",2
54,707,"Cucumbers and gherkins, fresh or chilled.",2
55,708,"Leguminous vegetables, shelled or unshelled, fresh or chilled.",2
60,713,"Dried leguminous vegetables, shelled, whether or not skinned or split.",2
61,714,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith",2
62,801,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled.",2
63,802,"Other nuts, fresh or dried, whether or not shelled or peeled.",2
64,803,"Bananas, including plantains, fresh or dried.",2
65,804,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried.",2
66,805,"Citrus fruit, fresh or dried.",2
67,806,"Grapes, fresh or dried.",2
68,807,"Melons (including watermelons) and papaws (papayas), fresh.",2
70,809,"Apricots, cherries, peaches (including nectarines), plums and sloes, fresh.",2
71,810,"Other fruit, fresh.",2
75,814,"Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",2
76,901,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion.",2
77,902,"Tea, whether or not flavoured.",2
79,904,Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the genus Pimenta.,2
84,909,"Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries.",2
85,910,"Ginger, saffron, turmeric (curcuma), thyme, bay leaves, curry and other spices.",2
91,1006,Rice.,2
94,1101,Wheat or meslin flour.,2
95,1102,Cereal flours other than of wheat or meslin.,2
99,1106,"Flour, meal and powder of the dried leguminous vegetables of heading No. 07.13, of sago or of roots or tubers of heading No. 07.14 or of the products of Chapter 8.",2
104,1202,"Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken.",2
108,1206,"Sunflower seeds, whether or not broken.",2
109,1207,"Other oil seeds and oleaginous fruits, whether or not broken.",2
110,1208,"Flours and meals of oil seeds or oleaginous fruits, other than those of mustard.",2
111,1209,"Seeds, fruit and spores, of a kind used for sowing.",2
113,1211,"Plants and parts of plants (including seeds and fruits), of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh or dried, whether or not cut, crushed or powdered.",2
114,1212,"Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit stones and kernels and other vegetable products (including unroasted chicory roots of the variety Cichorium",2
117,1301,"Lac; natural gums, resins, gum-resins and oleoresins (for example, balsams).",2
122,1404,Vegetable products not elsewhere specified or included.,2
124,1502,"Fats of bovine animals, sheep or goats, other than those of heading No. 15.03.",2
129,1507,"Soya-bean oil and its fractions, whether or not refined, but not chemically modified.",2
131,1509,"Olive oil and its fractions, whether or not refined, but not chemically modified.",2
132,1510,"Other oils and their fractions, obtained solely from olives, whether or not refined, but not chemically modified, including blends of these oils or fractions with oils or fractions of heading No. 15.09.",2
133,1511,"Palm oil and its fractions, whether or not refined, but not chemically modified.",2
