,HS 1996 Product Code,HS 1996 Product Description,cluster_labels
59,712,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared.",17
73,812,"Fruit and nuts, provisionally preserved (for example, by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption.",17
84,909,"Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries.",17
118,1302,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other mucilages and thickeners, whether or not modified, derived from vegetable products.",17
165,2002,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid.,17
169,2006,"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glac or crystallised).",17
214,2515,"Marble, travertine, ecaussine and other calcarous monumental or building stone of an apparent specific gravity of 2.5 or more, and alabaster, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of",17
218,2519,"Natural magnesium carbonate (magnesite); fused magnesia; dead-burned (sintered) magnesia, whether or not containing small quantities of other oxides added before sintering; other magnesium oxide, whether or not pure.",17
299,2833,Sulphates; alums; peroxosulphates (persulphates),17
302,2836,Carbonates; peroxocarbonates (percarbonates); commercial ammonium carbonate containing ammonium carbamate,17
482,4013,"Inner tubes, of rubber.",17
496,4110,"Parings and other waste of leather or of composition leather, not suitable for the manufacture of leather articles; leather dust, powder and flour.",17
521,4414,"Wooden frames for paintings, photographs, mirrors or similar objects.",17
526,4419,"Tableware and kitchenware, of wood.",17
534,4602,"Basketwork, wickerwork and other articles, made directly to shape from plaiting materials or made up from goods of heading No. 46.01; articles of loofah.",17
585,5103,"Waste of wool or of fine or coarse animal hair, including yarn waste but excluding garnetted stock.",17
587,5105,"Wool and fine or coarse animal hair, carded or combed (including combed wool in fragments).",17
601,5206,"Cotton yarn (other than sewing thread), containing less than 85 % by weight of cotton, not put up for retail sale.",17
603,5208,"Woven fabrics of cotton, containing 85 % or more by weight  of cotton, weighing not more than 200 g/m2.",17
604,5209,"Woven fabrics of cotton, containing 85 % or more by weight of cotton, weighing more than 200 g/m2.",17
605,5210,"Woven fabrics of cotton, containing less than 85 % by weight of cotton, mixed mainly or solely with man-made  fibres, weighing not more than 200 g/m2.",17
606,5211,"Woven fabrics of cotton, containing less than 85 % by weight of cotton, mixed mainly or solely with man-made  fibres, weighing more than 200 g/m2.",17
607,5212,Other woven fabrics of cotton.,17
615,5308,Yarn of other vegetable textile fibres; paper yarn.,17
625,5407,"Woven fabrics of synthetic filament yarn, including woven fabrics obtained from materials of heading No. 54.04.",17
634,5508,"Sewing thread of man-made staple fibres, whether or not put up for retail sale.",17
637,5511,"Yarn (other than sewing thread) of man-made staple fibres, put up for retail sale.",17
638,5512,"Woven fabrics of synthetic staple fibres, containing 85 % or more by weight of synthetic staple fibres.",17
641,5515,Other woven fabrics of synthetic staple fibres.,17
653,5702,"Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including Kelem, Schumacks, Karamanie and similar hand-woven rugs.",17
656,5705,"Other carpets and other textile floor coverings, whether or not made up.",17
658,5802,"Terry towelling and similar woven terry fabrics, other than narrow fabrics of heading No. 58.06; tufted textile fabrics, other than products of heading No. 57.03.",17
660,5804,"Tulles and other net fabrics, not including woven, knitted or crocheted fabrics; lace in the piece, in strips or in motifs, other than fabrics of heading No. 60.02.",17
661,5805,"Hand-woven tapestries of the type Gobelins, Flanders, Aubusson, Beauvais and the like, and needle-worked tapestries (for example, petit point, cross stitch), whether or not made up.",17
663,5807,"Labels, badges and similar articles of textile materials, in the piece, in strips or cut to shape or size, not embroidered.",17
666,5810,"Embroidery in the piece, in strips or in motifs.",17
680,6002,Other knitted or crocheted fabrics.,17
696,6116,"Gloves, mittens and mitts, knitted or crocheted.",17
697,6117,"Other made up clothing accessories, knitted or crocheted; knitted or crocheted parts of garments or of clothing accessories.",17
699,6202,"Women's or girls' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading No. 62.04.",17
710,6213,Handkerchiefs.,17
711,6214,"Shawls, scarves, mufflers, mantillas, veils and the like.",17
713,6216,"Gloves, mittens and mitts.",17
714,6217,"Other made up clothing accessories; parts of garments or of clothing accessories, other than those of heading No. 62.12.",17
715,6301,Blankets and travelling rugs.,17
716,6302,"Bed linen, table linen, toilet linen and kitchen linen.",17
718,6304,"Other furnishing articles, excluding those of heading No. 94.04.",17
721,6307,"Other made up articles, including dress patterns.",17
726,6402,Other footwear with outer soles and uppers of rubber or plastics.,17
728,6404,"Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.",17
732,6502,"Hat-shapes, plaited or made by assembling strips of any material, neither blocked to shape, nor with made brims, nor lined, nor trimmed.",17
734,6504,"Hats and other headgear, plaited or made by assembling strips of any material, whether or not lined or trimmed.",17
735,6505,"Hats and other headgear, knitted or crocheted, or made up from lace, felt or other textile fabric, in the piece (but   not in strips), whether or not lined or trimmed; hair-nets of any material, whether or not lined or trimm",17
745,6801,"Setts, curbstones and flagstones, of natural stone (except slate).",17
746,6802,"Worked monumental or building stone (except slate) and articles thereof, other than goods of heading No.68.01; mosaic cubes and the like, of natural stone (including slate), whether or not on a backing; artificially coloured granules, c",17
756,6812,"Fabricated asbestos fibres; mixtures with a basis of asbestos or with a basis of asbestos and magnesium carbonate; articles of such mixtures or of asbestos (for example, thread, woven fabric, clothing, headgear, footwear, gaskets), whet",17
760,6901,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (for example, kieselguhr, tripolite or diatomite) or of similar siliceous earths.",17
766,6907,"Unglazed ceramic flags and paving, hearth or wall tiles; unglazed ceramic mosaic cubes and the like, whether or not",17
770,6911,"Tableware, kitchenware, other household articles and toilet articles, of porcelain or china.",17
772,6913,Statuettes and other ornamental ceramic articles.,17
843,7303,"Tubes, pipes and hollow profiles, of cast iron.",17
863,7323,"Table, kitchen or other household articles and parts thereof, of iron or steel; iron or steel wool; pot scourers and scouring or polishing pads, gloves and the like, of iron or steel.",17
907,7614,"Stranded wire, cables, plaited bands and the like, of aluminium, not electrically insulated.",17
908,7615,"Table, kitchen or other household articles and parts thereof, of aluminium; pot scourers and scouring or polishing pads, gloves and the like, of aluminium; sanitary ware and parts thereof, of aluminium.",17
939,8110,"Antimony and articles thereof, including waste and scrap.",17
1217,9601,"Worked ivory, bone, tortoise-shell, horn, antlers, coral, mother-of-pearl and other animal carving material, and articles of these materials (including articles obtained by moulding).",17
1222,9606,"Buttons, press-fasteners, snap-fasteners and press-studs, button moulds and other parts of these articles; button blanks.",17
1223,9607,Slide fasteners and parts thereof.,17
1225,9609,"Pencils (other than pencils of heading No. 96.08), crayons, pencil leads, pastels, drawing charcoals, writing or drawing chalks and tailors' chalks.",17
