,HS_code,HS_description,cluster_labels
270,2804,"Hydrogen, rare gases and other non-metals.",16
308,2842,"Other salts of inorganic acids or peroxoacids, excluding azides",16
319,2902,Cyclic hydrocarbons,16
324,2907,Phenols; phenol-alcohols.,16
327,2910,"Epoxides, epoxyalcohols, epoxyphenols and epoxyethers, with a three-membered ring, and their halogenated, sulphonated, nitrated or nitrosated derivatives.",16
343,2926,Nitrile-function compounds.,16
416,3704,"Photographic plates, film, paper, paperboard and textiles, exposed but not developed.",16
420,3801,"Artificial graphite; colloidal or semi-colloidal graphite; preparations based on graphite or other carbon in the form of pastes, blocks, plates or other semi-manufactures.",16
429,3810,Pickling preparations for metal surfaces; fluxes,16
436,3817,"Mixed alkylbenzenes and mixed alkylnaphthalenes, other than those of heading No. 27.07 or 29.02.",16
453,3910,Silicones in primary forms.,16
454,3911,"Petroleum resins, coumarone-indene resins, polyterpenes, polysulphides, polysulphones and other products specified in Note 3 to this Chapter, not elsewhere specified or included, in primary forms.",16
471,4002,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; mixtures of any product of heading No. 40.01 with any product of this heading, in primary forms or in plates, sheets or st",16
557,4816,"Carbon paper, self-copy paper and other copying or transfer papers (other than those of heading No. 48.09), duplicator stencils and offset plates, of paper, whether or not put up in boxes.",16
674,5907,"Textile fabrics otherwise impregnated, coated or covered; painted canvas being theatrical scenery, studio back-cloths or the like.",16
768,6909,"Ceramic wares for laboratory, chemical or other technical uses; ceramic troughs, tubs and similar receptacles of a kind used in agriculture; ceramic pots, jars and similar articles of a kind used for the conveyance or packin",16
808,7115,Other articles of precious metal or of metal clad with precious metal.,16
888,7503,Nickel waste and scrap.,16
925,8003,"Tin bars, rods, profiles and wire.",16
929,8007,Other articles of tin.,16
931,8102,"Molybdenum and articles thereof, including waste and scrap.",16
1011,8443,"Printing machinery, including ink-jet printing machines, other than those of heading No. 84.71; machines for uses ancillary to printing.",16
1058,8505,"Electro-magnets; permanent magnets and articles intended to become permanent magnets after magnetisation; electro-magnetic or permanent magnet chucks, clamps and similar holding devices; electro-magnetic couplings, clutches and brakes;",16
1076,8523,"Prepared unrecorded media for sound recording or similar recording of other phenomena, other than products of Chapter 37.",16
1093,8540,"Thermionic, cold cathode or photo-cathode valves and tubes (for example, vacuum or vapour or gas filled valves and tubes, mercury arc rectifying valves and tubes, cathode-ray tubes, television camera tubes).",16
1129,8803,Parts of goods of heading No. 88.01 or 88.02.,16
1140,9001,"Optical fibres and optical fibre bundles; optical fibre cables other than those of heading No.85.44; sheets and plates of polarising material; lenses (including contact lenses), prisms, mirrors and other optical elements, of any materia",16
1141,9002,"Lenses, prisms, mirrors and other optical elements, of any material, mounted, being parts of or fittings for instruments or apparatus, other than such elements of glass not optically worked.",16
1169,9030,"Oscilloscopes, spectrum analysers and other instruments and apparatus for measuring or checking electrical quantities, excluding meters of heading No.90.28; instruments and apparatus for measuring or detecting alpha, beta, gamma, X-ray,",16
1228,9612,"Typewriter or similar ribbons, inked or otherwise prepared for giving impressions, whether or not on spools or in cartridges; ink-pads, whether or not inked, with or without boxes.",16
