,HS 1996 Product Code,HS 1996 Product Description,cluster_labels
334,2917,"Polycarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives.",4
335,2918,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives.",4
358,2941,Antibiotics.,4
374,3204,"Synthetic organic colouring matter, whether or not chemically defined; preparations as specified in Note 3 to this Chapter based on synthetic organic colouring matter; synthetic organic products of a kind used as fluorescent brightening",4
589,5107,"Yarn of combed wool, not put up for retail sale.",4
621,5403,"Artificial filament yarn (other than sewing thread), not put up for retail sale, including artificial monofilament of less than 67 decitex.",4
626,5408,"Woven fabrics of artificial filament yarn, including woven fabrics obtained from materials of heading No. 54.05.",4
629,5503,"Synthetic staple fibres, not carded, combed or otherwise processed for spinning.",4
646,5604,"Rubber thread and cord, textile covered; textile yarn, and strip and the like of heading No. 54.04 or 54.05, impregnated, coated, covered or sheathed with rubber or plastics.",4
662,5806,"Narrow woven fabrics, other than goods of heading No. 58.07; narrow fabrics consisting of warp without weft assembled by means of an adhesive (bolducs).",4
664,5808,"Braids in the piece; ornamental trimmings in the piece, without embroidery, other than knitted or crocheted; tassels, pompons and similar articles.",4
669,5902,"Tyre cord fabric of high tenacity yarn of nylon or other polyamides, polyesters or viscose rayon.",4
737,6507,"Head-bands, linings, covers, hat foundations, hat frames, peaks and chinstraps, for headgear.",4
740,6603,"Parts, trimmings and accessories of articles of",4
793,7020,Other articles of glass.,4
836,7225,"Flat-rolled products of other alloy steel, of a width of 600 mm or more.",4
840,7229,Wire of other alloy steel.,4
859,7319,"Sewing needles, knitting needles, bodkins, crochet hooks, embroidery stilettos and similar articles, for use in the hand, of iron or steel; safety pins and other pins of iron or steel, not elsewhere specified or included",4
877,7411,Copper tubes and pipes.,4
884,7418,"Table, kitchen or other household articles and parts thereof, of copper; pot scourers and scouring or polishing pads, gloves and the like, of copper; sanitary ware and parts thereof, of copper.",4
933,8104,"Magnesium and articles thereof, including waste and scrap.",4
945,8203,"Files, rasps, pliers (including cutting pliers), pincers, tweezers, metal cutting shears, pipe-cutters, bolt croppers, perforating punches and similar hand tools.",4
962,8305,"Fittings for loose-leaf binders or files, letter clips, letter corners, paper clips, indexing tags and similar office articles, of base metal; staples in strips (for example, for offices, upholstery, packaging), of base m",4
965,8308,"Clasps, frames with clasps, buckles, buckle-clasps, hooks, eyes, eyelets and the like, of base metal, of a kind used for clothing, footwear, awnings, handbags, travel goods or other made up articles; tubular or bifurcated rivets, of bas",4
967,8310,"Sign-plates, name-plates, address-plates and similar plates, numbers, letters and other symbols, of base metal, excluding those of heading No. 94.05.",4
970,8402,Steam or other vapour generating boilers (other than central heating hot water boilers capable also of producing low pressure steam); super-heated water boilers.,4
1035,8467,"Tools for working in the hand, pneumatic, hydraulic or with self-contained non-electric motor.",4
1040,8472,"Other office machines (for example, hectograph or stencil duplicating machines, addressing machines, automatic banknote dispensers, coin-sorting machines, coin-counting or wrapping machines, pencil-sharpening machines, pe",4
1044,8476,"Automatic goods-vending machines (for example, postage stamp, cigarette, food or beverage machines), including money-changing machines.",4
1048,8480,"Moulding boxes for metal foundry; mould bases; moulding patterns; moulds for metal (other than ingot moulds), metal carbides, glass, mineral materials, rubber or plastics.",4
1058,8505,"Electro-magnets; permanent magnets and articles intended to become permanent magnets after magnetisation; electro-magnetic or permanent magnet chucks, clamps and similar holding devices; electro-magnetic couplings, clutches and brakes;",4
1060,8507,"Electric accumulators, including separators therefor, whether or not rectangular (including square).",4
1061,8508,"Electro-mechanical tools for working in the hand, with self-contained electric motor.",4
1062,8509,"Electro-mechanical domestic appliances, with self-contained electric motor.",4
1063,8510,"Shavers, hair clippers and hair-removing appliances, with self-contained electric motor.",4
1073,8520,"Magnetic tape recorders and other sound recording apparatus, whether or not incorporating a sound reproducing device.",4
1084,8531,"Electric sound or visual signalling apparatus (for example, bells, sirens, indicator panels, burglar or fire alarms), other than those of heading No. 85.12 or 85.30.",4
1086,8533,"Electrical resistors (including rheostats and potentiometers), other than heating resistors.",4
1089,8536,"Electrical apparatus for switching or protecting electrical circuits, or for making connections to or in electrical circuits (for example, switches, relays, fuses, surge suppressors, plugs, sockets, lamp-holders, junction boxes), for a)",4
1092,8539,"Electric filament or discharge lamps, including sealed beam lamp units and ultra-violet or infra-red lamps; arc-lamps.",4
1121,8711,"Motorcycles (including mopeds) and cycles fitted with an auxiliary motor, with or without side-cars; side-cars.",4
1124,8714,Parts and accessories of vehicles of headings Nos. 87.11 to 87.13.,4
1156,9017,"Drawing, marking-out or mathematical calculating instruments (e.g., drafting machines, pantographs, protractors, drawing sets, slide rules, disc calculators); instruments for measuring length, for use in the hand (e.g., measuringrods a",4
1187,9201,"Pianos, including automatic pianos; harpsichords and other keyboard stringed instruments.",4
1191,9205,"Other wind musical instruments (for example, clarinets, trumpets, bagpipes).",4
1212,9504,"Articles for funfair, table or parlour games, including pintables, billiards, special tables for casino games and automatic bowling alley equipment.",4
1224,9608,"Ball point pens; felt tipped and other porous-tipped pens and markers; fountain pens, stylograph pens and other pens; duplicating stylos; propelling or sliding pencils; pen-holders, pencil-holders and similar holders; parts (including c",4
