,HS_code,HS_description,cluster_labels
613,5306,Flax yarn.,15
646,5604,"Rubber thread and cord, textile covered; textile yarn, and strip and the like of heading No. 54.04 or 54.05, impregnated, coated, covered or sheathed with rubber or plastics.",15
699,6202,"Women's or girls' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading No. 62.04.",15
717,6303,Curtains (including drapes) and interior blinds; curtain or bed valances.,15
721,6307,"Other made up articles, including dress patterns.",15
740,6603,"Parts, trimmings and accessories of articles of",15
878,7412,"Copper tube or pipe fittings (for example, couplings, elbows, sleeves).",15
933,8104,"Magnesium and articles thereof, including waste and scrap.",15
967,8310,"Sign-plates, name-plates, address-plates and similar plates, numbers, letters and other symbols, of base metal, excluding those of heading No. 94.05.",15
970,8402,Steam or other vapour generating boilers (other than central heating hot water boilers capable also of producing low pressure steam); super-heated water boilers.,15
972,8404,"Auxiliary plant for use with boilers of heading No. 84.02 or 84.03 (for example, economisers, super-heaters, soot removers, gas recoverers); condensers for steam or other vapour power units.",15
983,8415,"Air conditioning machines, comprising a motor-driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated.",15
1021,8453,"Machinery for preparing, tanning or working hides, skins or leather or for making or repairing footwear or other articles of hides, skins or leather, other than sewing machines.",15
1061,8508,"Electro-mechanical tools for working in the hand, with self-contained electric motor.",15
1062,8509,"Electro-mechanical domestic appliances, with self-contained electric motor.",15
1071,8518,"Microphones and stands therefor; loudspeakers, whether or not mounted in their enclosures; headphones, earphones and combined microphone/speaker sets; audio-frequency electric amplifiers; electric sound amplifier sets.",15
1073,8520,"Magnetic tape recorders and other sound recording apparatus, whether or not incorporating a sound reproducing device.",15
1078,8525,"Transmission apparatusfor radio-telephony, radio- telegraphy, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; television cameras; still image video cameras",15
1080,8527,"Reception apparatus for radio-telephony, radio-telegraphy or radio-broadcasting, whether or not combined, in the same housing, with sound recording or reproducing apparatus or a clock.",15
1081,8528,"Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus; video monitors and video projectors.",15
1092,8539,"Electric filament or discharge lamps, including sealed beam lamp units and ultra-violet or infra-red lamps; arc-lamps.",15
1125,8715,Baby carriages and parts thereof.,15
1132,8901,"Cruise ships, excursion boats, ferry-boats, cargo ships, barges and similar vessels for the transport of persons or goods.",15
1142,9003,"Frames and mountings for spectacles, goggles or the like, and parts thereof.",15
1179,9107,Time switches with clock or watch movement or with synchronous motor.,15
1207,9405,"Lamps and lighting fittings including searchlights and spotlights and parts thereof, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like, having a permanently fixed light source, and parts thereo",15
1212,9504,"Articles for funfair, table or parlour games, including pintables, billiards, special tables for casino games and automatic bowling alley equipment.",15
1224,9608,"Ball point pens; felt tipped and other porous-tipped pens and markers; fountain pens, stylograph pens and other pens; duplicating stylos; propelling or sliding pencils; pen-holders, pencil-holders and similar holders; parts (including c",15
1225,9609,"Pencils (other than pencils of heading No. 96.08), crayons, pencil leads, pastels, drawing charcoals, writing or drawing chalks and tailors' chalks.",15
1227,9611,"Date, sealing or numbering stamps, and the like (including devices for printing or embossing labels), designed for operating in the hand; hand-operated composing sticks and hand printing sets incorporating such composing st",15
