,HS_code,HS_description,cluster_labels
86,1001,Wheat and meslin.,17
88,1003,Barley.,17
89,1004,Oats.,17
90,1005,Maize (corn).,17
107,1205,"Rape or colza seeds, whether or not broken.",17
190,2303,"Residues of starch manufacture and similar residues, beet-pulp, bagasse and other waste of sugar manufacture, brewing or distilling dregs and waste, whether or not in the form of pellets.",17
204,2505,"Natural sands of all kinds, whether or not coloured, other than metalbearing sands of Chapter 26.",17
504,4301,"Raw furskins (including heads, tails, paws and other pieces or cuttings, suitable for furriers' use), other than raw hides and skins of heading No. 41.01, 41.02 or 41.03.",17
513,4406,Railway or tramway sleepers (cross-ties) of wood.,17
954,8212,Razors and razor blades (including razor blade blanks in strips).,17
1107,8606,"Railway or tramway goods vans and wagons, not self-propelled.",17
