,HS 1996 Product Code,HS 1996 Product Description,cluster_labels
282,2816,"Hydroxide and peroxide of magnesium; oxides, hydroxides and peroxides, of strontium or barium",9
289,2823,Titanium oxides,9
308,2842,"Other salts of inorganic acids or peroxoacids, excluding azides",9
316,2850,"Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined, other than compounds which are also carbides of heading No. 28.49",9
319,2902,Cyclic hydrocarbons,9
320,2903,Halogenated derivatives of hydrocarbons,9
323,2906,"Cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives",9
324,2907,Phenols; phenol-alcohols.,9
325,2908,"Halogenated, sulphonated, nitrated or nitrosated derivatives of phenols or phenol-alcohols.",9
326,2909,"Ethers, ether-alcohols, ether-phenols, ether-alcohol- phenols, alcohol peroxides, ether peroxides, ketone peroxides (whether or not chemically defined), and their halogenated, sulphonated, nitrated or nitrosated derivativ",9
327,2910,"Epoxides, epoxyalcohols, epoxyphenols and epoxyethers, with a three-membered ring, and their halogenated, sulphonated, nitrated or nitrosated derivatives.",9
328,2911,"Acetals and hemiacetals, whether or not with other oxygen function, and their halogenated, sulphonated, nitrated or nitrosated derivatives.",9
337,2920,"Esters of other inorganic acids (excluding esters of hydrogen halides) and their salts; their halogenated, sulphonated, nitrated or nitrosated derivatives.",9
338,2921,Amine-function compounds.,9
342,2925,Carboxyimide-function compounds (including saccharin and its salts) and imine-function compounds.,9
343,2926,Nitrile-function compounds.,9
346,2929,Compounds with other nitrogen function.,9
347,2930,Organo-sulphur compounds.,9
348,2931,Other organo-inorganic compounds.,9
349,2932,Heterocyclic compounds with oxygen hetero-atom(s) only.,9
351,2934,Nucleic acids and their salts; other heterocyclic compounds.,9
355,2938,"Glycosides, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives.",9
356,2939,"Vegetable alkaloids, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives.",9
413,3701,"Photographic plates and film in the flat, sensitised, unexposed, of any material other than paper, paperboard or textiles; instant print film in the flat, sensitised, unexposed, whether or not in packs.",9
414,3702,"Photographic film in rolls, sensitised, unexposed, of any material other than paper, paperboard or textiles; instant print film in rolls, sensitised, unexposed.",9
417,3705,"Photographic plates and film, exposed and developed, other than cinematographic film.",9
419,3707,"Chemical preparations for photographic uses (other than varnishes, glues, adhesives and similar preparations); unmixed products for photographic uses, put up in measured portions or put up for retail sale in a form ready for",9
453,3910,Silicones in primary forms.,9
454,3911,"Petroleum resins, coumarone-indene resins, polyterpenes, polysulphides, polysulphones and other products specified in Note 3 to this Chapter, not elsewhere specified or included, in primary forms.",9
659,5803,"Gauze, other than narrow fabrics of heading No. 58.06.",9
665,5809,"Woven fabrics of metal thread and woven fabrics of metallised yarn of heading No. 56.05, of a kind used in apparel, as furnishing fabrics or for similar purposes, not elsewhere specified or included.",9
775,7002,"Glass in balls (other than microspheres of heading No. 70.18), rods or tubes, unworked.",9
787,7014,"Signalling glassware and optical elements of glass (other than those of heading No. 70.15), not optically worked.",9
798,7105,Dust and powder of natural or synthetic precious or semi-precious stones.,9
800,7107,"Base metals clad with silver, not further worked than semi-manufactured.",9
872,7406,Copper powders and flakes.,9
931,8102,"Molybdenum and articles thereof, including waste and scrap.",9
932,8103,"Tantalum and articles thereof, including waste and scrap.",9
951,8209,"Plates, sticks, tips and the like for tools, unmounted, of cermets.",9
953,8211,"Knives with cutting blades, serrated or not (including pruning knives), other than knives of heading No. 82.08, and blades therefor.",9
1012,8444,"Machines for extruding, drawing, texturing or cutting man-made textile materials.",9
1013,8445,"Machines for preparing textile fibres; spinning, doubling or twisting machines and other machinery for producing textile yarns; textile reeling or winding (including weft-winding) machines and machines for preparing textile yarns for us",9
1015,8447,"Knitting machines, stitch-bonding machines and machines for making gimped yarn, tulle, lace, embroidery, trimmings, braid or net and machines for tufting.",9
1149,9010,"Apparatus and equipment for photographic (including cinematographic) laboratories (including apparatus for the projection or drawing of circuit patterns on sensitised semiconductor materials), not specified or included elsewhere in this",9
1150,9011,"Compound optical microscopes, including those for photomicrography, cinephotomicrography or microprojection.",9
1151,9012,Microscopes other than optical microscopes; diffraction apparatus.,9
1155,9016,"Balances of a sensitivity of 5 cg or better, with or without weights.",9
1176,9104,"Instrument panel clocks and clocks of a similar type for vehicles, aircraft, spacecraft or vessels.",9
1202,9307,"Swords, cutlasses, bayonets, lances and similar arms and parts thereof and scabbards and sheaths therefor.",9
