,HS_code,HS_description,cluster_labels
33,501,"Human hair, unworked, whether or not washed or scoured; waste of human hair.",14
80,905,Vanilla.,14
81,906,Cinnamon and cinnamon-tree flowers.,14
82,907,"Cloves (whole fruit, cloves and stems).",14
83,908,"Nutmeg, mace and cardamoms.",14
130,1508,"Ground-nut oil and its fractions, whether or not refined, but not chemically modified.",14
192,2305,"Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of ground-nut oil.",14
203,2504,Natural graphite.,14
212,2513,"Pumice stone; emery; natural corundum, natural garnet and other natural abrasives, whether or not heat-treated.",14
243,2614,Titanium ores and concentrates.,14
244,2615,"Niobium, tantalum, vanadium or zirconium ores and concentrates.",14
267,2801,"Fluorine, chlorine, bromine and iodine.",14
268,2802,"Sulphur, sublimed or precipitated; colloidal sulphur.",14
284,2818,"Artificial corundum, whether or not chemically defined; aluminium oxide; aluminium hydroxide",14
359,2942,Other organic compounds.,14
442,3823,Industrial monocarboxylic fatty acids; acid oils from refining; industrial fatty alcohols.,14
533,4601,"Plaits and similar products of plaiting materials, whether or not assembled into strips; plaiting materials, plaits and similar products of plaiting materials, bound together in parallel strands or woven, in sheet form, whether or not b",14
598,5203,"Cotton, carded or combed.",14
600,5205,"Cotton yarn (other than sewing thread), containing 85 % or more by weight of cotton, not put up for retail sale.",14
610,5303,"Jute and other textile bast fibres (excluding flax, true hemp and ramie), raw or processed but not spun; tow and waste of these fibres (including yarn waste and garnetted stock).",14
612,5305,"Coconut, abaca (Manila hemp or Musa textilis Nee), ramie  and other vegetable textile fibres, not elsewhere specified  or included, raw or processed but not spun; tow, noils and waste of these fibres (including yarn",14
614,5307,Yarn of jute or of other textile bast fibres of heading No. 53.03.,14
744,6704,"Wigs, false beards, eyebrows and eyelashes, switches and the like, of human or animal hair or of textile materials; articles of human hair not elsewhere specified or included.",14
795,7102,"Diamonds, whether or not worked, but not mounted or set.",14
796,7103,"Precious stones (other than diamonds) and semi-precious stones, whether or not worked or graded but not strung, mounted or set; ungraded precious stones (other than diamonds) and semi-precious stones, temporarily stru",14
797,7104,"Synthetic or reconstructed precious or semi-precious stones, whether or not worked or graded but not strung, mounted or set; ungraded synthetic or reconstructed precious or semi-precious stones, temporarily strung for",14
809,7116,"Articles of natural or cultured pearls, precious or semi-precious stones (natural, synthetic or reconstructed).",14
1110,8609,Containers (including containers for the transport of fluids) specially designed and equipped for carriage by one or more modes of transport.,14
1135,8904,Tugs and pusher craft.,14
