,HS_code,HS_description,cluster_labels
357,2940,"Sugars, chemically pure, other than sucrose, lactose, maltose, glucose and fructose; sugar ethers and sugar esters, and their salts, other than products of heading No. 29.37, 29.38 or 29.39.",10
377,3207,"Prepared pigments, prepared and prepared colours, vitrifiable enamels and glazes, engobes (slips), liquid lustres and similar preparations, of a kind used in the ceramic, enamelling or glass industry; glass frit and other glass, in the",10
462,3919,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether or not in rolls.",10
542,4801,"Newsprint, in rolls or sheets.",10
548,4807,"Composite paper and paperboard (made by sticking flat layers of paper or paperboard together with an adhesive), not surface-coated or impregnated, whether or not internally reinforced, in rolls or sheets.",10
551,4810,"Paper and paperboard, coated on one or both sides with kaolin (China clay) or other inorganic substances, with or without a binder, and with no other coating, whether or not surface-coloured, surface-decorated or print",10
677,5910,"Transmission or conveyor belts or belting, of textile material, whether or not impregnated, coated, covered or laminated with plastics, or reinforced with metal or other material.",10
748,6804,"Millstones, grindstones, grinding wheels and the like, without frameworks, for grinding, sharpening, polishing, trueing or cutting, hand sharpening or polishing stones, and parts thereof, of natural stone, of agglomerated natural or art",10
802,7109,"Base metals or silver, clad with gold, not further worked than semi-manufactured.",10
829,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,10
832,7221,"Bars and rods, hot-rolled, in irregularly wound coils, of stainless steel.",10
835,7224,Other alloy steel in ingots or other primary forms; semi-finished products of other alloy steel.,10
836,7225,"Flat-rolled products of other alloy steel, of a width of 600 mm or more.",10
837,7226,"Flat-rolled products of other alloy steel, of a width of less than 600 mm.",10
840,7229,Wire of other alloy steel.,10
855,7315,"Chain and parts thereof, of iron or steel.",10
858,7318,"Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter-pins, washers (including spring washers) and similar articles, of iron or steel.",10
875,7409,"Copper plates, sheets and strip, of a thickness exceeding 0.15 mm.",10
942,8113,"Cermets and articles thereof, including waste and scrap.",10
944,8202,"Hand saws; blades for saws of all kinds (including slitting, slotting or toothless saw blades).",10
949,8207,"Interchangeable tools for hand tools, whether or not power-operated, or for machine-tools (for example, for pressing, stamping, punching, tapping, threading, drilling, boring, broaching, milling, turning or screw driving), including die",10
974,8406,Steam turbines and other vapour turbines.,10
988,8420,"Calendering or other rolling machines, other than for metals or glass, and cylinders therefor.",10
1007,8439,Machinery for making pulp of fibrous cellulosic material or for making or finishing paper or paperboard.,10
1016,8448,"Auxiliary machinery for use with machines of heading No.84.44, 84.45, 84.46 or 84.47 (for example, dobbies, Jacquards, automatic stop motions, shuttle changing mechanisms); parts and accessories suitable for use solely or principally wi",10
1019,8451,"Machinery (other than machines of heading No.84.50) for washing, cleaning, wringing, drying, ironing, pressing (including fusing presses), bleaching, dyeing, dressing, finishing, coating or impregnating textile yarns, fabrics or made up",10
1022,8454,"Converters, ladles, ingot moulds and casting machines, of a kind used in metallurgy or in metal foundries.",10
1023,8455,Metal-rolling mills and rolls therefor.,10
1024,8456,"Machine-tools for working any material by removal of material, by laser or other light or photon beam, ultrasonic, electro-discharge, electro-chemical, electron beam, ionic-beam or plasma arc processes.",10
1026,8458,Lathes (including turning centres) for removing metal.,10
1028,8460,"Machine-tools for deburring, sharpening, grinding,honing, lapping, polishing or otherwise finishing metal or cermets by means of grinding stones, abrasives or polishing products, other than gear cutting, gear grinding or gear finishing",10
1029,8461,"Machine-tools for planing, shaping, slotting, broaching, gear cutting, gear grinding or gear finishing, sawing, cutting-off and other machine-tools working by removing metal or cermets, not elsewhere specified or included",10
1030,8462,"Machine-tools (including presses) for working metal by forging, hammering or die-stamping; machine-tools (including presses) for working metal by bending, folding, straightening, flattening, shearing, punching or notching; presses for w",10
1032,8464,"Machine-tools for working stone, ceramics, concrete, asbestos-cement or like mineral materials or for cold working glass.",10
1034,8466,"Parts and accessories suitable for use solely or principally with the machines of headings Nos.84.56 to 84.65, including work or tool holders, self-opening dieheads, dividing heads and other special attachments for machine-tools; tool h",10
1035,8467,"Tools for working in the hand, pneumatic, hydraulic or with self-contained non-electric motor.",10
1043,8475,"Machines for assembling electric or electronic lamps, tubes or valves or flashbulbs, in glass envelopes; machines for manufacturing or hot working glass or glassware.",10
1045,8477,"Machinery for working rubber or plastics or for the manufacture of products from these materials, not specified or included elsewhere in this Chapter.",10
1047,8479,"Machines and mechanical appliances having individual functions, not specified or included elsewhere in this Chapter.",10
1048,8480,"Moulding boxes for metal foundry; mould bases; moulding patterns; moulds for metal (other than ingot moulds), metal carbides, glass, mineral materials, rubber or plastics.",10
1050,8482,Ball or roller bearings.,10
