,HS 1996 Product Code,HS 1996 Product Description,cluster_labels
37,505,"Shins and other parts of birds, with their feathers or down, feathers and parts of feathers (whether or not with trimmed edges) and down, not further worked than cleaned, disingected or treated for preservation; powder and waste of feat",2
166,2003,"Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid.",2
224,2525,"Mica, including splittings; mica waste.",2
254,2704,"Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon.",2
258,2708,"Pitch and pitch coke, obtained from coal tar or from other mineral tars.",2
292,2826,"Fluorides; fluorosilicates, fluoroaluminates and other complex fluorine salts",2
300,2834,Nitrites; nitrates,2
315,2849,"Carbides, whether or not chemically defined",2
410,3604,"Fireworks, signalling flares, rain rockets, fog signals and other pyrotechnic articles.",2
436,3817,"Mixed alkylbenzenes and mixed alkylnaphthalenes, other than those of heading No. 27.07 or 29.02.",2
461,3918,"Floor coverings of plastics, whether or not self-adhesive, in rolls or in the form of tiles; wall or ceiling coverings of plastics, as defined in Note 9 to this Chapter.",2
550,4809,"Carbon paper, self-copy paper and other copying or transfer papers (including coated or impregnated paper for duplicator stencils or offset plates), whether or not printed, in rolls or sheets.",2
588,5106,"Yarn of carded wool, not put up for retail sale.",2
613,5306,Flax yarn.,2
623,5405,"Artificial monofilament of 67 decitex or more and of which no cross-sectional dimension exceeds 1 mm; strip and the  like (for example, artificial straw) of artificial textile materials of an apparent width not exce",2
624,5406,"Man-made filament yarn (other than sewing thread), put up for retail sale.",2
630,5504,"Artificial staple fibres, not carded, combed or otherwise processed for spinning.",2
647,5605,"Metallised yarn, whether or not gimped, being textile yarn, or strip or the like of heading No. 54.04 or 54.05, combined with metal in the form of thread, strip or powder or covered with metal.",2
674,5907,"Textile fabrics otherwise impregnated, coated or covered; painted canvas being theatrical scenery, studio back-cloths or the like.",2
731,6501,"Hat-forms, hat bodies and hoods of felt, neither blocked to shape nor with made brims; plateaux and manchons (including slit manchons), of felt.",2
739,6602,"Walking-sticks, seat-sticks, whips, riding-crops and the like.",2
782,7009,"Glass mirrors, whether or not framed, including rear-view mirrors.",2
791,7018,"Glass beads, imitation pearls, imitation precious or semi-precious stones and similar glass smallwares, and articles thereof other than imitation jewellery; glass eyes other than prosthetic articles; statuettes and other ornaments of la",2
838,7227,"Bars and rods, hot-rolled, in irregularly wound coils, of other alloy steel.",2
946,8204,"Hand-operated spanners and wrenches (including torque meter wrenches but not including tap wrenches); interchangeable spanner sockets, with or without handles.",2
947,8205,"Hand tools (including glaziers' diamonds), not elsewhere specified or included; blow lamps; vices, clamps and the like, other than accessories for and parts of, machine tools; anvils; portable forges; hand or pedal-operated grinding whe",2
948,8206,"Tools of two or more of the headings Nos. 82.02 to 82.05, put up in sets for retail sale.",2
983,8415,"Air conditioning machines, comprising a motor-driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated.",2
1039,8471,"Automatic data processing machines and units thereof; magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included.",2
1071,8518,"Microphones and stands therefor; loudspeakers, whether or not mounted in their enclosures; headphones, earphones and combined microphone/speaker sets; audio-frequency electric amplifiers; electric sound amplifier sets.",2
1072,8519,"Turntables (record-decks), record-players, cassette-players and other sound reproducing apparatus, not incorporating a sound recording device.",2
1078,8525,"Transmission apparatusfor radio-telephony, radio- telegraphy, radio-broadcasting or television, whether or not incorporating reception apparatus or sound recording or reproducing apparatus; television cameras; still image video cameras",2
1080,8527,"Reception apparatus for radio-telephony, radio-telegraphy or radio-broadcasting, whether or not combined, in the same housing, with sound recording or reproducing apparatus or a clock.",2
1123,8713,"Invalid carriages, whether or not motorised or otherwise mechanically propelled.",2
1125,8715,Baby carriages and parts thereof.,2
1178,9106,"Time of day recording apparatus and apparatus for measuring, recording or otherwise indicating intervals of time, with clock or watch movement or with synchronous motor (for example, time-registers, time-recorders).",2
1188,9202,"Other string musical instruments (for example, guitars, violins, harps).",2
1192,9206,"Percussion musical instruments (for example, drums, xylophones, cymbals, castanets, maracas).",2
1194,9208,"Musical boxes, fairground organs, mechanical street organs, mechanical singing birds, musical saws and other musical instruments not falling within any other heading of this  Chapter; decoy calls of all kinds; whistles, call horns and o",2
1207,9405,"Lamps and lighting fittings including searchlights and spotlights and parts thereof, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like, having a permanently fixed light source, and parts thereo",2
1211,9503,"Other toys; reduced-size (scale) models and similar recreational models, working or not; puzzles of all kinds.",2
1226,9610,"Slates and boards, with writing or drawing surfaces, whether or not framed.",2
1230,9614,"Smoking pipes (including pipe bowls) and cigar or cigarette holders, and parts thereof.",2
