,HS 1996 Product Code,HS 1996 Product Description,cluster_labels
32,410,"Edible products of animal origin, not elsewhere specified or included.",16
33,501,"Human hair, unworked, whether or not washed or scoured; waste of human hair.",16
46,603,"Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared.",16
80,905,Vanilla.,16
81,906,Cinnamon and cinnamon-tree flowers.,16
82,907,"Cloves (whole fruit, cloves and stems).",16
83,908,"Nutmeg, mace and cardamoms.",16
92,1007,Grain sorghum.,16
103,1201,"Soya beans, whether or not broken.",16
105,1203,Copra.,16
130,1508,"Ground-nut oil and its fractions, whether or not refined, but not chemically modified.",16
133,1511,"Palm oil and its fractions, whether or not refined, but not chemically modified.",16
135,1513,"Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified.",16
153,1801,"Cocoa beans, whole or broken, raw or roasted.",16
161,1903,"Tapioca and substitutes therefor prepared from starch, in the form of flakes, grains, pearls, siftings or in similar forms.",16
191,2304,"Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soyabean oil.",16
192,2305,"Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of ground-nut oil.",16
203,2504,Natural graphite.,16
209,2510,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk.",16
212,2513,"Pumice stone; emery; natural corundum, natural garnet and other natural abrasives, whether or not heat-treated.",16
230,2601,"Iron ores and concentrates, including roasted iron pyrites.",16
233,2604,Nickel ores and concentrates.,16
235,2606,Aluminium ores and concentrates.,16
238,2609,Tin ores and concentrates.,16
240,2611,Tungsten ores and concentrates.,16
243,2614,Titanium ores and concentrates.,16
244,2615,"Niobium, tantalum, vanadium or zirconium ores and concentrates.",16
246,2617,Other ores and concentrates.,16
251,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal.",16
252,2702,"Lignite, whether or not agglomerated, excluding jet.",16
259,2709,"Petroleum oils and oils obtained from bituminous minerals, crude.",16
261,2711,Petroleum gases and other gaseous hydrocarbons.,16
268,2802,"Sulphur, sublimed or precipitated; colloidal sulphur.",16
280,2814,"Ammonia, anhydrous or in aqueous solution",16
284,2818,"Artificial corundum, whether or not chemically defined; aluminium oxide; aluminium hydroxide",16
285,2819,Chromium oxides and hydroxides,16
295,2829,Chlorates and perchlorates; bromates and perbromates; iodates and periodates,16
303,2837,"Cyanides, cyanide oxides and complex cyanides",16
322,2905,"Acyclic alcohols and their halogenated, sulphonated, nitrated or introsated derivatives",16
369,3104,"Mineral or chemical fertilisers, potassic.",16
470,4001,"Natural rubber, balata, gutta-percha, guayule, chicle and similar natural gums, in primary forms or in plates, sheets or strip.",16
484,4015,"Articles of apparel and clothing accessories (including gloves), for all purposes, of vulcanised rubber other than hard rubber.",16
533,4601,"Plaits and similar products of plaiting materials, whether or not assembled into strips; plaiting materials, plaits and similar products of plaiting materials, bound together in parallel strands or woven, in sheet form, whether or not b",16
539,4705,Semi-chemical wood pulp.,16
583,5101,"Wool, not carded or combed.",16
584,5102,"Fine or coarse animal hair, not carded or combed.",16
610,5303,"Jute and other textile bast fibres (excluding flax, true hemp and ramie), raw or processed but not spun; tow and waste of these fibres (including yarn waste and garnetted stock).",16
612,5305,"Coconut, abaca (Manila hemp or Musa textilis Nee), ramie  and other vegetable textile fibres, not elsewhere specified  or included, raw or processed but not spun; tow, noils and waste of these fibres (including yarn",16
614,5307,Yarn of jute or of other textile bast fibres of heading No. 53.03.,16
639,5513,"Woven fabrics of synthetic staple fibres, containing less than 85 % by weight of such fibres, mixed mainly or solely with cotton, of a weight not exceeding 170 g/m2.",16
652,5701,"Carpets and other textile floor coverings, knotted, whether or not made up.",16
744,6704,"Wigs, false beards, eyebrows and eyelashes, switches and the like, of human or animal hair or of textile materials; articles of human hair not elsewhere specified or included.",16
767,6908,"Glazed ceramic flags and paving, hearth or wall tiles; glazed ceramic mosaic cubes and the like, whether or not on a backing.",16
812,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms.",16
817,7206,Iron and non-alloy steel in ingots or other primary forms (excluding iron of heading No. 72.03).,16
868,7402,Unrefined copper; copper anodes for electrolytic refining.,16
886,7501,"Nickel mattes, nickel oxide sinters and other intermediate products of nickel metallurgy.",16
1037,8469,Typewriters other than printers of heading No. 84.71; word-processing machines.,16
1110,8609,Containers (including containers for the transport of fluids) specially designed and equipped for carriage by one or more modes of transport.,16
1135,8904,Tugs and pusher craft.,16
1136,8905,"Light-vessels, fire-floats, dredgers, floating cranes, and other vessels the navigability of which is subsidiary to their main function; floating docks; floating or submersible drilling or production platforms.",16
