,HS_code,HS_description,cluster_labels
32,410,"Edible products of animal origin, not elsewhere specified or included.",13
35,503,"Horsehair and horsehair waste, whether or not put up as a layer with or without supporting material.",13
41,509,Natural sponges of animal origin.,13
44,601,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower; chicory plants and roots other than roots of heading No. 12.12.",13
78,903,Mate,13
92,1007,Grain sorghum.,13
103,1201,"Soya beans, whether or not broken.",13
105,1203,Copra.,13
106,1204,"Linseed, whether or not broken.",13
120,1402,"Vegetable materials of a kind used primarily as stuffing or as padding (for example, kapok, vegetable hair and eel-grass), whether or not put up as a layer with or without supporting material.",13
121,1403,"Vegetable materials of a kind used primarily in brooms or in brushes (for example, broomcorn, piassava, couch-grass and istle), whether or not in hanks or bundles.",13
126,1504,"Fats and oils and their fractions, of fish or marine mammals, whether or not refined, but not chemically modified.",13
209,2510,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk.",13
223,2524,Asbestos.,13
226,2527,Natural cryolite; natural chiolite.,13
227,2528,"Natural borates and concentrates thereof (whether or not calcined), but not including borates separated from natural brine; natural boric acid containing not more than 85 % of H3BO3 calculated on the dry weight.",13
230,2601,"Iron ores and concentrates, including roasted iron pyrites.",13
231,2602,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20 % or more, calculated on the dry weight.",13
233,2604,Nickel ores and concentrates.,13
235,2606,Aluminium ores and concentrates.,13
238,2609,Tin ores and concentrates.,13
239,2610,Chromium ores and concentrates.,13
240,2611,Tungsten ores and concentrates.,13
241,2612,Uranium or thorium ores and concentrates.,13
246,2617,Other ores and concentrates.,13
251,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal.",13
252,2702,"Lignite, whether or not agglomerated, excluding jet.",13
259,2709,"Petroleum oils and oils obtained from bituminous minerals, crude.",13
261,2711,Petroleum gases and other gaseous hydrocarbons.,13
276,2810,Oxides of boron; boric acids.,13
280,2814,"Ammonia, anhydrous or in aqueous solution",13
295,2829,Chlorates and perchlorates; bromates and perbromates; iodates and periodates,13
304,2838,"Fulminates, cyanates and thiocyanates",13
369,3104,"Mineral or chemical fertilisers, potassic.",13
470,4001,"Natural rubber, balata, gutta-percha, guayule, chicle and similar natural gums, in primary forms or in plates, sheets or strip.",13
476,4007,Vulcanised rubber thread and cord.,13
484,4015,"Articles of apparel and clothing accessories (including gloves), for all purposes, of vulcanised rubber other than hard rubber.",13
495,4109,Patent leather and patent laminated leather; metallised leather.,13
501,4204,"Articles of leather or of composition leather, of a kind used in machinery or mechanical appliances or for other technical uses.",13
529,4501,"Natural cork, raw or simply prepared; waste cork; crushed, granulated or ground cork.",13
530,4502,"Natural cork, debacked or roughly squared, or in rectangular (including square) blocks, plates, sheets or strip, (including sharp-edged blanks for corks or stoppers).",13
531,4503,Articles of natural cork.,13
532,4504,Agglomerated cork (with or without a binding substance) and articles of agglomerated cork.,13
539,4705,Semi-chemical wood pulp.,13
556,4815,"Floor coverings on a base of paper or of paperboard, whether or not cut to size.",13
583,5101,"Wool, not carded or combed.",13
584,5102,"Fine or coarse animal hair, not carded or combed.",13
611,5304,"Sisal and other textile fibres of the genus Agave, raw or processed but not spun; tow and waste of these fibres (including yarn waste and garnetted stock).",13
617,5310,Woven fabrics of jute or of other textile bast fibres of heading No. 53.03.,13
733,6503,"Felt hats and other felt headgear, made from the hat bodies, hoods or plateaux of heading No. 65.01, whether or not lined or trimmed.",13
767,6908,"Glazed ceramic flags and paving, hearth or wall tiles; glazed ceramic mosaic cubes and the like, whether or not on a backing.",13
785,7012,Glass inners for vacuum flasks or for other vacuum vessels.,13
812,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms.",13
867,7401,Copper mattes; cement copper (precipitated copper).,13
868,7402,Unrefined copper; copper anodes for electrolytic refining.,13
871,7405,Master alloys of copper.,13
880,7414,"Cloth (including endless bands), grill and netting, of copper wire; expanded metal of copper.",13
882,7416,Copper springs.,13
883,7417,"Cooking or heating apparatus of a kind used for domestic purposes, non-electric, and parts thereof, of copper.",13
886,7501,"Nickel mattes, nickel oxide sinters and other intermediate products of nickel metallurgy.",13
912,7803,"Lead bars, rods, profiles and wire.",13
914,7805,"Lead tubes, pipes and tube or pipe fittings (for example, couplings, elbows, sleeves).",13
921,7906,"Zinc tubes, pipes and tube or pipe fittings (for example, couplings, elbows, sleeves).",13
923,8001,Unwrought tin.,13
926,8004,"Tin plates, sheets and strip, of a thickness exceeding 0.2 mm.",13
927,8005,"Tin foil (whether or not printed or backed with paper, paperboard, plastics or similar backing materials), of a thickness (excluding any backing) not exceeding 0.2 mm; tin powders and flakes.",13
928,8006,"Tin tubes, pipes and tube or pipe fittings (for example, couplings, elbows, sleeves).",13
1037,8469,Typewriters other than printers of heading No. 84.71; word-processing machines.,13
1131,8805,Aircraft launching gear; deck-arrestor or similar gear; ground flying trainers; parts of the foregoing articles.,13
1139,8908,Vessels and other floating structures for breaking up.,13
1189,9203,Keyboard pipe organs; harmoniums and similar keyboard instruments with free metal reeds.,13
1190,9204,Accordions and similar instruments; mouth organs.,13
1209,9501,"Wheeled toys designed to be ridden by children (for example, tricycles, scooters, pedal cars); dolls' carriages.",13
1210,9502,Dolls representing only human beings.,13
