,HS 1996 Product Code,HS 1996 Product Description,cluster_labels
795,7102,"Diamonds, whether or not worked, but not mounted or set.",14
796,7103,"Precious stones (other than diamonds) and semi-precious stones, whether or not worked or graded but not strung, mounted or set; ungraded precious stones (other than diamonds) and semi-precious stones, temporarily stru",14
797,7104,"Synthetic or reconstructed precious or semi-precious stones, whether or not worked or graded but not strung, mounted or set; ungraded synthetic or reconstructed precious or semi-precious stones, temporarily strung for",14
806,7113,"Articles of jewellery and parts thereof, of precious metal or of metal clad with precious metal.",14
807,7114,"Articles of goldsmiths' or silversmiths' wares and parts thereof, of precious metal or of metal clad with precious  metal.",14
809,7116,"Articles of natural or cultured pearls, precious or semi-precious stones (natural, synthetic or reconstructed).",14
810,7117,Imitation jewellery.,14
1101,8548,"Waste and scrap of primary cells, primary batteries and electric accumulators; spent primary cells, spent primary batteries and spent electric accumulators; electrical parts of machinery or apparatus, not specified or inc",14
1148,9009,Photo-copying apparatus incorporating an optical system or of the contact type and thermo-copying apparatus.,14
1174,9102,"Wrist-watches, pocket-watches and other watches, including stop-watches, other than those of heading No. 91.01.",14
1181,9109,"Clock movements, complete and assembled.",14
