,HS_code,HS_description,cluster_labels
278,2812,Halides and halide oxides of non-metals.,6
307,2841,Salts of oxometallic or peroxometallic acids,6
312,2846,"Compounds, inorganic or organic, of rate-earth metals, of yttrium or of scandium or of mixtures of these metals",6
314,2848,"Phosphides, whether or not chemically defined, excluding ferrophosphorus",6
316,2850,"Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined, other than compounds which are also carbides of heading No. 28.49",6
330,2913,"Halogenated, sulphonated, nitrated or nitrosated derivatives of products of heading No. 29.12.",6
344,2927,"Diazo-, azo- or azoxy-compounds.",6
414,3702,"Photographic film in rolls, sensitised, unexposed, of any material other than paper, paperboard or textiles; instant print film in rolls, sensitised, unexposed.",6
417,3705,"Photographic plates and film, exposed and developed, other than cinematographic film.",6
419,3707,"Chemical preparations for photographic uses (other than varnishes, glues, adhesives and similar preparations); unmixed products for photographic uses, put up in measured portions or put up for retail sale in a form ready for",6
437,3818,"Chemical elements doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics.",6
777,7004,"Drawn glass and blown glass, in sheets, whether or not having an absorbent, reflecting or non-reflecting layer, but not otherwise worked.",6
779,7006,"Glass of heading No. 70.03, 70.04 or 70.05, bent, edge-worked, engraved, drilled, enamelled or otherwise worked, but not framed or fitted with other materials.",6
788,7015,"Clock or watch glasses and similar glasses, glasses for non-corrective or corrective spectacles, curved, bent, hollowed or the like, not optically worked; hollow glass spheres and their segments, for the manufacture o",6
794,7101,"Pearls, natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for convenience of transport.",6
804,7111,"Base metals, silver or gold, clad with platinum, not further worked than semi-manufactured.",6
876,7410,"Copper foil (whether or not printed or backed with paper, paperboard, plastics or similar backing materials) of a thickness (excluding any backing) not exceeding 0.15 mm.",6
1038,8470,"Calculating machines and pocket-size data recording, reproducing and displaying machines with calculating functions; accounting machines, postage-franking machines, ticket-issuing machines and similar machines, incorporating a calculati",6
1039,8471,"Automatic data processing machines and units thereof; magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included.",6
1041,8473,"Parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of headings Nos. 84.69 to 84.72.",6
1070,8517,"Electrical apparatus for line telephony or line telegraphy, including line telephone sets with cordless handsets and telecommunication apparatus for carrier-current line systems or for digital line systems; videophones.",6
1074,8521,"Video recording or reproducing apparatus, whether or not incorporating a video tuner.",6
1075,8522,Parts and accessories suitable for use solely or principally with the apparatus of headings Nos. 85.19 to 85.21.,6
1082,8529,Parts suitable for use solely or principally with the apparatus of headings Nos. 85.25 to 85.28.,6
1085,8532,"Electrical capacitors, fixed, variable or adjustable (pre-set).",6
1087,8534,Printed circuits.,6
1094,8541,"Diodes, transistors and similar semiconductor devices; photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes; mounted piezo-el",6
1095,8542,Electronic integrated circuits and microassemblies.,6
1096,8543,"Electrical machines and apparatus, having individual functions, not specified or included elsewhere in this Chapter.",6
1101,8548,"Waste and scrap of primary cells, primary batteries and electric accumulators; spent primary cells, spent primary batteries and spent electric accumulators; electrical parts of machinery or apparatus, not specified or inc",6
1149,9010,"Apparatus and equipment for photographic (including cinematographic) laboratories (including apparatus for the projection or drawing of circuit patterns on sensitised semiconductor materials), not specified or included elsewhere in this",6
1150,9011,"Compound optical microscopes, including those for photomicrography, cinephotomicrography or microprojection.",6
1152,9013,"Liquid crystal devices not constituting articles provided for more specifically in other headings; lasers, other than laser diodes; other optical appliances and instruments, not specified or included elsewhere in this Chapt",6
1174,9102,"Wrist-watches, pocket-watches and other watches, including stop-watches, other than those of heading No. 91.01.",6
1180,9108,"Watch movements, complete and assembled.",6
1181,9109,"Clock movements, complete and assembled.",6
1182,9110,"Complete watch or clock movements, unassembled or partly assembled (movement sets); incomplete watch or clock movements, assembled; rough watch or clock movements.",6
1183,9111,Watch cases and parts thereof.,6
1186,9114,Other clock or watch parts.,6
1211,9503,"Other toys; reduced-size (scale) models and similar recreational models, working or not; puzzles of all kinds.",6
