,HS_code,HS_description,cluster_labels
34,502,"Pigs', hogs' or boars' bristles and hair; badger hair and other brush making hair; waste of such bristles or hair.",5
37,505,"Shins and other parts of birds, with their feathers or down, feathers and parts of feathers (whether or not with trimmed edges) and down, not further worked than cleaned, disingected or treated for preservation; powder and waste of feat",5
59,712,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared.",5
166,2003,"Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid.",5
169,2006,"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glac or crystallised).",5
210,2511,"Natural barium sulphate (barytes); natural barium carbonate (witherite), whether or not calcined, other than barium oxide of heading No 28.16.",5
254,2704,"Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon.",5
258,2708,"Pitch and pitch coke, obtained from coal tar or from other mineral tars.",5
271,2805,"Alkali or alkaline-earth metals; rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed; mercury.",5
288,2822,Cobalt oxides and hydroxides; commercial cobalt oxides,5
292,2826,"Fluorides; fluorosilicates, fluoroaluminates and other complex fluorine salts",5
297,2831,Dithionites and sulphoxylates,5
336,2919,"Phosphoric esters and their salts, including lactophosphates; their halogenated, sulphonated, nitrated or nitrosated derivatives.",5
341,2924,Carboxyamide-function compounds; amide-function compounds of carbonic acid.,5
410,3604,"Fireworks, signalling flares, rain rockets, fog signals and other pyrotechnic articles.",5
461,3918,"Floor coverings of plastics, whether or not self-adhesive, in rolls or in the form of tiles; wall or ceiling coverings of plastics, as defined in Note 9 to this Chapter.",5
482,4013,"Inner tubes, of rubber.",5
499,4202,"Trunks, suit-cases, vanity-cases, executive-cases, brief-cases, school satchels, spectacle cases, binocular cases, camera cases, musical instrument cases, gun cases, holsters and similar containers; travelling-bags, toilet bags, rucksac",5
506,4303,"Articles of apparel, clothing accessories and other articles of furskin.",5
550,4809,"Carbon paper, self-copy paper and other copying or transfer papers (including coated or impregnated paper for duplicator stencils or offset plates), whether or not printed, in rolls or sheets.",5
567,4903,"Children's picture, drawing or colouring books.",5
573,4909,"Printed or illustrated postcards; printed cards bearing personal greetings, messages or announcements, whether or not illustrated, with or without envelopes or trimmings.",5
