,HS_code,HS_description,cluster_labels
14,209,"Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked.",3
26,404,"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere s",3
30,408,"Birds' eggs, not in shell, and egg yolks, fresh, dried, cooked by steaming or by boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter.",3
87,1002,Rye.,3
100,1107,"Malt, whether or not roasted.",3
115,1213,"Cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form of pellets.",3
123,1501,"Pig fat (including lard) and poultry fat, other than that of heading No. 02.09 or 15.03.",3
136,1514,"Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically modified.",3
158,1806,Chocolate and other food preparations containing cocoa.,3
247,2618,Granulated slag (slag sand) from the manufacture of iron or steel.,3
250,2621,"Other slag and ash, including seaweed ash (kelp).",3
256,2706,"Tar distilled from coal, from lignite or from peat, and other mineral tars, whether or not dehydrated or partially distilled, including reconstituted tars.",3
363,3004,"Medicaments (excluding goods of heading No. 30.02, 30.05 or 30.06) consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses or in forms or packings for retail sale.",3
364,3005,"Wadding, gauze, bandages and similar articles (for example, dressings, adhesive plasters, poultices), impregnated or coated with pharmaceutical substances or put up in forms or packings for retail sale for medical, surgical,",3
398,3406,"Candles, tapers and the like.",3
405,3506,"Prepared glues and other prepared adhesives, not elsewhere specified or included; products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding a net weight of 1 kg.",3
428,3809,"Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs and other products and preparations (for example, dressings and mordants), of a kind used in the textile, paper, leather or like industries, not elsewhere sp",3
431,3812,"Prepared rubber accelerators; compound plasticisers for rubber or plastics, not elsewhere specified or included; anti-oxidising preparations and other compound stabilisers for rubber or plastics.",3
435,3816,"Refractory cements, mortars, concretes and similar compositions, other than products of heading No. 38.01.",3
439,3820,Anti-freezing preparations and prepared de-icing fluids.,3
459,3916,"Monofilament of which any cross-sectional dimension exceeds 1 mm, rods, sticks and profile shapes, whether or not surface-worked but not otherwise worked, of plastics.",3
464,3921,"Other plates, sheets, film, foil and strip, of plastics.",3
465,3922,"Baths, shower-baths, wash-basins, bidets, lavatory pans, seats and covers, flushing cisterns and similar sanitary ware, of plastics.",3
469,3926,Other articles of plastics and articles of other materials of headings Nos. 39.01 to 39.14.,3
473,4004,"Waste, parings and scrap of rubber (other than hard rubber) and powders and granules obtained therefrom.",3
474,4005,"Compounded rubber, unvulcanised, in primary forms or in plates, sheets or strip.",3
477,4008,"Plates, sheets, strip, rods and profile shapes, of vulcanised rubber other than hard rubber.",3
478,4009,"Tubes, pipes and hoses, of vulcanised rubber other than hard rubber, with or without their fittings (for example, joints, elbows, flanges).",3
479,4010,"Conveyor or transmission belts or belting, of vulcanised rubber.",3
481,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, interchangeable tyre treads and tyre flaps, of rubber.",3
485,4016,Other articles of vulcanised rubber other than hard rubber.,3
502,4205,Other articles of leather or of composition leather.,3
512,4405,Wood wool; wood flour.,3
540,4706,Pulps of fibres derived from recovered (waste and scrap) paper or paperboard or of other fibrous cellulosic material.,3
546,4805,"Other uncoated paper and paperboard, in rolls or sheets, not further worked or processed than as specified in Note 2 to this Chapter.",3
