,HS 1996 Product Code,HS 1996 Product Description,cluster_labels
1,102,Live bovine animals.,5
4,105,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",5
5,106,Other live animals.,5
16,301,Live fish.,5
23,401,"Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",5
25,403,"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit",5
28,406,Cheese and curd.,5
29,407,"Birds' eggs, in shell, fresh, preserved or cooked.",5
31,409,Natural honey.,5
40,508,"Coral and similar materials, unworked or simply prepared but not otherwise worked; shells of molluscs, crustaceans or echinoderms and cuttle-bone, unworked or simply prepared but not cut to shape, powder and waste there",5
43,511,"Animal products not elsewhere specified or included; dead animals of Chapter 1 or 3, unfit for human consumption.",5
45,602,"Other live plants (including their roots), cuttings and slips; mushroom spawn.",5
47,604,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregn",5
51,704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled.",5
53,706,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh or chilled.",5
57,710,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen.",5
58,711,"Vegetables provisionally preserved (for example, by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption.",5
69,808,"Apples, pears and quinces, fresh.",5
72,811,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter.",5
74,813,"Fruit, dried, other than that of headings Nos. 08.01 to 08.06; mixtures of nuts or dried fruits of this Chapter.",5
93,1008,"Buckwheat, millet and canary seed; other cereals.",5
96,1103,"Cereal groats, meal and pellets.",5
97,1104,"Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading No. 10.06; germ of cereals, whole, rolled, flaked or ground.",5
119,1401,"Vegetable materials of a kind used primarily for plaiting (for example, bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw, and lime bark).",5
137,1515,"Other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified.",5
139,1517,"Margarine; edible mixtures or preparations of animal or vegetable fats or oils or of fractions of different fats or oils of this Chapter, other than edible fats or oils or their fractions of heading No. 15.16.",5
144,1601,"Sausages and similar products, of meat, meat offal or blood; food preparations based on these products.",5
145,1602,"Other prepared or preserved meat, meat offal or blood.",5
152,1704,"Sugar confectionery (including white chocolate), not containing cocoa.",5
158,1806,Chocolate and other food preparations containing cocoa.,5
162,1904,"Prepared foods obtained by the swelling or roasting of cereals or cereal products (for exam. corn flakes); cereals (other than maize (corn) in grain form or in the form of flakes or other worked grains (except flour and meal), pre-cooke",5
163,1905,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.",5
164,2001,"Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid.",5
168,2005,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading No. 20.06.",5
170,2007,"Jams, fruit jellies, marmalades, fruit or nut pure and fruit or nut pastes, being cooked preparations, whether or not containing added sugar or other sweetening matter.",5
173,2101,"Extracts, essences and concentrates, of coffee, tea or mat and preparations with a basis of these products or with a basis of coffee, tea or mat; roasted chicory and other roasted coffee substitutes, and extracts, essen",5
174,2102,"Yeasts (active or inactive); other single-cell micro-organisms, dead (but not including vaccines of heading No 30.02); prepared baking powders.",5
175,2103,Sauces and preparations therefor; mixed condiments and mixed seasonings; mustard flour and meal and prepared mustard.,5
176,2104,Soups and broths and preparations therefor; homogenised composite food preparations.,5
177,2105,"Ice cream and other edible ice, whether or not containing cocoa.",5
178,2106,Food preparations not elsewhere specified or included.,5
179,2201,"Waters, including natural or artificial mineral waters and aerated waters, not containing added sugar or other sweetening matter nor flavoured; ice and snow.",5
180,2202,"Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured, and other non-alcoholic beverages, not including fruit or vegetable juices of heading No. 20.09.",5
181,2203,Beer made from malt.,5
184,2206,"Other fermented beverages (for example, cider, perry, mead); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.",5
186,2208,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80 % vol; spirits, liqueurs and other spirituous beverages.",5
196,2309,Preparations of a kind used in animal feeding.,5
199,2403,Other manufactured tobacco and manufactured tobacco substitutes; homogenised or reconstituted tobacco; tobacco extracts and essences.,5
204,2505,"Natural sands of all kinds, whether or not coloured, other than metalbearing sands of Chapter 26.",5
216,2517,"Pebbles, gravel, broken or crushed stone, of a kind commonly used for concrete aggregates, for road metalling or for railway or other ballast, shingle and flint, whether or not heat-treated; macadam of slag, dross or similar industrial",5
221,2522,"Quicklime, slaked lime and hydraulic lime, other than calcium oxide and hydroxide of heading No. 28.25.",5
266,2716,Electrical energy. (optional heading),5
294,2828,Hypochlorites; commercial calcium hypochlorite; chlorites; hypobromites,5
305,2839,Silicates; commercial alkali metal silicates,5
370,3105,"Mineral or chemical fertilisers containing two or three of the fertilising elements nitrogen, phosphorus and potassium; other fertilisers; goods of this Chapter in tablets or similar forms or in packages of a gross weight not",5
378,3208,"Paints and varnishes (including enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in a non-aqueous medium; solutions as defined in Note 4 to this Chapter.",5
379,3209,"Paints and varnishes (including enamels and lacquers) based on synthetic polymers or chemically modified natural polymers, dispersed or dissolved in an aqueous medium.",5
384,3214,"Glaziers' putty, grafting putty, resin cements, caulking compounds and other mastics; painters' fillings; non-refractory surfacing preparations for faades, indoor walls, floors, ceilings or the like.",5
386,3301,"Essentials oils (terpeneless or not), including concretes and absolutes; resinoids; extracted oleoresins; concentrates of essential oils in fats, in fixed oils, in waxes or the like, obtained by enfleurage or maceration; terpenic by-pro",5
390,3305,Preparations for use on the hair.,5
392,3307,"Pre-shave, shaving or after-shave preparations, personal deodorants, bath preparations, depilatories and other perfumery, cosmetic or toilet preparations, not elsewhere specified or included ; prepared room deodorisers, whether or not p",5
394,3402,"Organic surface-active agents (other than soap); surface-active preparations, washing preparations (including auxiliary washing preparations) and cleaning preparations, whether or not containing soap, other than those of head",5
433,3814,"Organic composite solvents and thinners, not elsewhere specified or included; prepared paint or varnish removers.",5
458,3915,"Waste, parings and scrap, of plastics.",5
460,3917,"Tubes, pipes and hoses, and fittings therefor (for example, joints, elbows, flanges), of plastics.",5
463,3920,"Other plates, sheets, film, foil and strip, of plastics, non-cellular and not reinforced, laminated, supported or similarly combined with other materials.",5
464,3921,"Other plates, sheets, film, foil and strip, of plastics.",5
465,3922,"Baths, shower-baths, wash-basins, bidets, lavatory pans, seats and covers, flushing cisterns and similar sanitary ware, of plastics.",5
466,3923,"Articles for the conveyance or packing of goods, of plastics; stoppers, lids, caps and other closures, of plastics.",5
467,3924,"Tableware, kitchenware, other household articles and toilet articles, of plastics.",5
468,3925,"Builders' ware of plastics, not elsewhere specified or included.",5
486,4017,"Hard rubber (for example, ebonite) in all forms, including waste and scrap; articles of hard rubber.",5
490,4104,"Leather of bovine or equine animals, without hair on, other than leather of heading No. 41.08 or 41.09.",5
500,4203,"Articles of apparel and clothing accessories, of leather or of composition leather.",5
505,4302,"Tanned or dressed furskins (including heads, tails, paws and other pieces or cuttings), unassembled, or assembled (without the addition of other materials) other than those of heading No. 43.03.",5
508,4401,"Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms; wood in chips or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms.",5
510,4403,"Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared.",5
511,4404,"Hoopwood; split poles; piles, pickets and stakes of wood, pointed but not sawn lengthwise; wooden sticks, roughly trimmed but not turned, bent or otherwise worked, suitable for the manufacture of walking-sticks, umbrellas, tool handles",5
514,4407,"Wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or finger-jointed, of a thickness exceeding 6 mm.",5
515,4408,"Veneer sheets and sheets for plywood (whether or not spliced) and other wood sawn lengthwise, sliced or peeled, whether or not planed, sanded or finger-jointed, of a thickness not exceeding 6 mm.",5
516,4409,"Wood (including strips and friezes for parquet flooring, not assembled) continuously shaped (tongued, grooved, grooved, rebated, chamfered, V-jlinted, beaded, moulded, rounded or the like) along any of its edges or faces, whether or not",5
517,4410,"Particle board and similar board of wood or other ligneous materials, whether or not agglomerated with resins or other organic binding substances.",5
518,4411,"Fibreboard of wood or other ligneous materials, whether or not bonded with resins or other organic substances.",5
519,4412,"Plywood, veneered panels and similar laminated wood.",5
520,4413,"Densified wood, in blocks, plates, strips or profile shapes.",5
522,4415,"Packing cases, boxes, crates, drums and similar packings, of wood; cable-drums of wood; pallets, box pallets and other load boards, of wood; pallet collars of wood.",5
