"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H1","ALB","0101","Albania","WLD"," World",1998,"Export",6,2.708
"H1","ALB","0207","Albania","WLD"," World",1998,"Export",6,37.913
"H1","ALB","0301","Albania","WLD"," World",1998,"Export",6,13.151
"H1","ALB","0302","Albania","WLD"," World",1998,"Export",6,803.603
"H1","ALB","0303","Albania","WLD"," World",1998,"Export",6,19.007
"H1","ALB","0305","Albania","WLD"," World",1998,"Export",6,728.9
"H1","ALB","0306","Albania","WLD"," World",1998,"Export",6,91.75
"H1","ALB","0307","Albania","WLD"," World",1998,"Export",6,2292.712
"H1","ALB","0508","Albania","WLD"," World",1998,"Export",6,155.885
"H1","ALB","0602","Albania","WLD"," World",1998,"Export",6,61.515
"H1","ALB","0702","Albania","WLD"," World",1998,"Export",6,93.179
"H1","ALB","0703","Albania","WLD"," World",1998,"Export",6,5.275
"H1","ALB","0707","Albania","WLD"," World",1998,"Export",6,0.028
"H1","ALB","0708","Albania","WLD"," World",1998,"Export",6,344.185
"H1","ALB","0709","Albania","WLD"," World",1998,"Export",6,244.232
"H1","ALB","0710","Albania","WLD"," World",1998,"Export",6,29.079
"H1","ALB","0712","Albania","WLD"," World",1998,"Export",6,54.379
"H1","ALB","0713","Albania","WLD"," World",1998,"Export",6,696.924
"H1","ALB","0802","Albania","WLD"," World",1998,"Export",6,45.589
"H1","ALB","0805","Albania","WLD"," World",1998,"Export",6,4.869
"H1","ALB","0807","Albania","WLD"," World",1998,"Export",6,14.01
"H1","ALB","0901","Albania","WLD"," World",1998,"Export",6,278.904
"H1","ALB","0902","Albania","WLD"," World",1998,"Export",6,22.196
"H1","ALB","0903","Albania","WLD"," World",1998,"Export",6,12.539
"H1","ALB","0910","Albania","WLD"," World",1998,"Export",6,1539.191
"H1","ALB","1001","Albania","WLD"," World",1998,"Export",6,12.195
"H1","ALB","1101","Albania","WLD"," World",1998,"Export",6,77.469
"H1","ALB","1209","Albania","WLD"," World",1998,"Export",6,29.283
"H1","ALB","1211","Albania","WLD"," World",1998,"Export",6,12603.55
"H1","ALB","1212","Albania","WLD"," World",1998,"Export",6,52.132
"H1","ALB","1213","Albania","WLD"," World",1998,"Export",6,2.705
"H1","ALB","1214","Albania","WLD"," World",1998,"Export",6,8.074
"H1","ALB","1302","Albania","WLD"," World",1998,"Export",6,12.353
"H1","ALB","1401","Albania","WLD"," World",1998,"Export",6,1.635
"H1","ALB","1509","Albania","WLD"," World",1998,"Export",6,92.922
"H1","ALB","1512","Albania","WLD"," World",1998,"Export",6,263.472
"H1","ALB","1515","Albania","WLD"," World",1998,"Export",6,126.951
"H1","ALB","1518","Albania","WLD"," World",1998,"Export",6,3.361
"H1","ALB","1602","Albania","WLD"," World",1998,"Export",6,0.512
"H1","ALB","1604","Albania","WLD"," World",1998,"Export",6,2283.034
"H1","ALB","1701","Albania","WLD"," World",1998,"Export",6,15.021
"H1","ALB","2002","Albania","WLD"," World",1998,"Export",6,52.241
"H1","ALB","2101","Albania","WLD"," World",1998,"Export",6,73.248
"H1","ALB","2102","Albania","WLD"," World",1998,"Export",6,0.372
"H1","ALB","2106","Albania","WLD"," World",1998,"Export",6,118.189
"H1","ALB","2202","Albania","WLD"," World",1998,"Export",6,106.88
"H1","ALB","2203","Albania","WLD"," World",1998,"Export",6,636.11
"H1","ALB","2208","Albania","WLD"," World",1998,"Export",6,65.741
"H1","ALB","2301","Albania","WLD"," World",1998,"Export",6,41.683
"H1","ALB","2401","Albania","WLD"," World",1998,"Export",6,1527.762
"H1","ALB","2402","Albania","WLD"," World",1998,"Export",6,432.145
"H1","ALB","2403","Albania","WLD"," World",1998,"Export",6,7025.984
"H1","ALB","2501","Albania","WLD"," World",1998,"Export",6,9.863
"H1","ALB","2505","Albania","WLD"," World",1998,"Export",6,2.015
"H1","ALB","2507","Albania","WLD"," World",1998,"Export",6,0.803
"H1","ALB","2508","Albania","WLD"," World",1998,"Export",6,8.554
"H1","ALB","2511","Albania","WLD"," World",1998,"Export",6,0.356
"H1","ALB","2513","Albania","WLD"," World",1998,"Export",6,14.316
"H1","ALB","2515","Albania","WLD"," World",1998,"Export",6,42.072
"H1","ALB","2516","Albania","WLD"," World",1998,"Export",6,16.804
"H1","ALB","2517","Albania","WLD"," World",1998,"Export",6,13.704
"H1","ALB","2518","Albania","WLD"," World",1998,"Export",6,0.326
"H1","ALB","2520","Albania","WLD"," World",1998,"Export",6,0.356
"H1","ALB","2523","Albania","WLD"," World",1998,"Export",6,6.35
"H1","ALB","2530","Albania","WLD"," World",1998,"Export",6,2.388
"H1","ALB","2601","Albania","WLD"," World",1998,"Export",6,48.315
"H1","ALB","2603","Albania","WLD"," World",1998,"Export",6,11.337
"H1","ALB","2606","Albania","WLD"," World",1998,"Export",6,0.284
"H1","ALB","2610","Albania","WLD"," World",1998,"Export",6,20444.944
"H1","ALB","2614","Albania","WLD"," World",1998,"Export",6,10.783
"H1","ALB","2615","Albania","WLD"," World",1998,"Export",6,108.597
"H1","ALB","2617","Albania","WLD"," World",1998,"Export",6,3.781
"H1","ALB","2618","Albania","WLD"," World",1998,"Export",6,1.246
"H1","ALB","2620","Albania","WLD"," World",1998,"Export",6,104.885
"H1","ALB","2701","Albania","WLD"," World",1998,"Export",6,93.765
"H1","ALB","2703","Albania","WLD"," World",1998,"Export",6,0.08
"H1","ALB","2704","Albania","WLD"," World",1998,"Export",6,0.745
"H1","ALB","2709","Albania","WLD"," World",1998,"Export",6,827.893
"H1","ALB","2710","Albania","WLD"," World",1998,"Export",6,1098.371
"H1","ALB","2711","Albania","WLD"," World",1998,"Export",6,18.221
"H1","ALB","2712","Albania","WLD"," World",1998,"Export",6,0.333
"H1","ALB","2713","Albania","WLD"," World",1998,"Export",6,380.887
"H1","ALB","2714","Albania","WLD"," World",1998,"Export",6,58.982
"H1","ALB","2715","Albania","WLD"," World",1998,"Export",6,7.752
"H1","ALB","2802","Albania","WLD"," World",1998,"Export",6,62.785
"H1","ALB","2804","Albania","WLD"," World",1998,"Export",6,91.372
"H1","ALB","2811","Albania","WLD"," World",1998,"Export",6,112.439
"H1","ALB","2813","Albania","WLD"," World",1998,"Export",6,7.52
"H1","ALB","2815","Albania","WLD"," World",1998,"Export",6,2.362
"H1","ALB","2818","Albania","WLD"," World",1998,"Export",6,11.566
"H1","ALB","2824","Albania","WLD"," World",1998,"Export",6,0.172
"H1","ALB","2828","Albania","WLD"," World",1998,"Export",6,47.399
"H1","ALB","2830","Albania","WLD"," World",1998,"Export",6,16.229
"H1","ALB","2849","Albania","WLD"," World",1998,"Export",6,1.039
"H1","ALB","2923","Albania","WLD"," World",1998,"Export",6,1.306
"H1","ALB","3001","Albania","WLD"," World",1998,"Export",6,10.29
"H1","ALB","3002","Albania","WLD"," World",1998,"Export",6,22.903
"H1","ALB","3004","Albania","WLD"," World",1998,"Export",6,31.438
"H1","ALB","3202","Albania","WLD"," World",1998,"Export",6,26.843
"H1","ALB","3206","Albania","WLD"," World",1998,"Export",6,0.087
"H1","ALB","3208","Albania","WLD"," World",1998,"Export",6,5.524
"H1","ALB","3301","Albania","WLD"," World",1998,"Export",6,173.678
"H1","ALB","3402","Albania","WLD"," World",1998,"Export",6,3.539
"H1","ALB","3404","Albania","WLD"," World",1998,"Export",6,0.128
"H1","ALB","3405","Albania","WLD"," World",1998,"Export",6,7.772
"H1","ALB","3506","Albania","WLD"," World",1998,"Export",6,3.237
"H1","ALB","3507","Albania","WLD"," World",1998,"Export",6,4.385
"H1","ALB","3702","Albania","WLD"," World",1998,"Export",6,16.634
"H1","ALB","3705","Albania","WLD"," World",1998,"Export",6,11.224
"H1","ALB","3706","Albania","WLD"," World",1998,"Export",6,8.132
"H1","ALB","3707","Albania","WLD"," World",1998,"Export",6,0.919
"H1","ALB","3805","Albania","WLD"," World",1998,"Export",6,5.042
"H1","ALB","3806","Albania","WLD"," World",1998,"Export",6,1.019
"H1","ALB","3808","Albania","WLD"," World",1998,"Export",6,43.433
"H1","ALB","3809","Albania","WLD"," World",1998,"Export",6,2.138
"H1","ALB","3901","Albania","WLD"," World",1998,"Export",6,17.201
"H1","ALB","3902","Albania","WLD"," World",1998,"Export",6,5.981
"H1","ALB","3904","Albania","WLD"," World",1998,"Export",6,26.845
"H1","ALB","3908","Albania","WLD"," World",1998,"Export",6,0.564
"H1","ALB","3909","Albania","WLD"," World",1998,"Export",6,2.164
"H1","ALB","3911","Albania","WLD"," World",1998,"Export",6,3.771
"H1","ALB","3915","Albania","WLD"," World",1998,"Export",6,8.859
"H1","ALB","3916","Albania","WLD"," World",1998,"Export",6,24.892
"H1","ALB","3920","Albania","WLD"," World",1998,"Export",6,50.779
"H1","ALB","3921","Albania","WLD"," World",1998,"Export",6,2.462
"H1","ALB","3923","Albania","WLD"," World",1998,"Export",6,287.793
"H1","ALB","3924","Albania","WLD"," World",1998,"Export",6,5.635
"H1","ALB","3925","Albania","WLD"," World",1998,"Export",6,30.628
"H1","ALB","3926","Albania","WLD"," World",1998,"Export",6,617.583
"H1","ALB","4009","Albania","WLD"," World",1998,"Export",6,1.14
"H1","ALB","4010","Albania","WLD"," World",1998,"Export",6,29.917
"H1","ALB","4012","Albania","WLD"," World",1998,"Export",6,18.409
"H1","ALB","4014","Albania","WLD"," World",1998,"Export",6,63.93
"H1","ALB","4015","Albania","WLD"," World",1998,"Export",6,19.784
"H1","ALB","4101","Albania","WLD"," World",1998,"Export",6,1307.73
"H1","ALB","4102","Albania","WLD"," World",1998,"Export",6,391.345
"H1","ALB","4103","Albania","WLD"," World",1998,"Export",6,147.241
"H1","ALB","4104","Albania","WLD"," World",1998,"Export",6,3344.415
"H1","ALB","4105","Albania","WLD"," World",1998,"Export",6,607.063
"H1","ALB","4106","Albania","WLD"," World",1998,"Export",6,57.263
"H1","ALB","4107","Albania","WLD"," World",1998,"Export",6,42.996
"H1","ALB","4202","Albania","WLD"," World",1998,"Export",6,335.178
"H1","ALB","4204","Albania","WLD"," World",1998,"Export",6,0.512
"H1","ALB","4205","Albania","WLD"," World",1998,"Export",6,6.246
"H1","ALB","4302","Albania","WLD"," World",1998,"Export",6,51.183
"H1","ALB","4303","Albania","WLD"," World",1998,"Export",6,353.497
"H1","ALB","4402","Albania","WLD"," World",1998,"Export",6,810.623
"H1","ALB","4403","Albania","WLD"," World",1998,"Export",6,4.484
"H1","ALB","4404","Albania","WLD"," World",1998,"Export",6,1.066
"H1","ALB","4407","Albania","WLD"," World",1998,"Export",6,2165.748
"H1","ALB","4408","Albania","WLD"," World",1998,"Export",6,11.676
"H1","ALB","4409","Albania","WLD"," World",1998,"Export",6,251.454
"H1","ALB","4410","Albania","WLD"," World",1998,"Export",6,107.57
"H1","ALB","4411","Albania","WLD"," World",1998,"Export",6,230.351
"H1","ALB","4412","Albania","WLD"," World",1998,"Export",6,15.007
"H1","ALB","4413","Albania","WLD"," World",1998,"Export",6,256.565
"H1","ALB","4414","Albania","WLD"," World",1998,"Export",6,49.825
"H1","ALB","4415","Albania","WLD"," World",1998,"Export",6,635.954
"H1","ALB","4416","Albania","WLD"," World",1998,"Export",6,44.793
"H1","ALB","4417","Albania","WLD"," World",1998,"Export",6,651.5
"H1","ALB","4418","Albania","WLD"," World",1998,"Export",6,21.338
"H1","ALB","4419","Albania","WLD"," World",1998,"Export",6,101.678
"H1","ALB","4420","Albania","WLD"," World",1998,"Export",6,48.644
"H1","ALB","4421","Albania","WLD"," World",1998,"Export",6,103.609
"H1","ALB","4501","Albania","WLD"," World",1998,"Export",6,0.053
"H1","ALB","4601","Albania","WLD"," World",1998,"Export",6,12.339
"H1","ALB","4602","Albania","WLD"," World",1998,"Export",6,29.342
"H1","ALB","4707","Albania","WLD"," World",1998,"Export",6,0.884
"H1","ALB","4802","Albania","WLD"," World",1998,"Export",6,7.528
"H1","ALB","4804","Albania","WLD"," World",1998,"Export",6,16.275
"H1","ALB","4807","Albania","WLD"," World",1998,"Export",6,0.106
"H1","ALB","4808","Albania","WLD"," World",1998,"Export",6,0.119
"H1","ALB","4810","Albania","WLD"," World",1998,"Export",6,0.144
"H1","ALB","4811","Albania","WLD"," World",1998,"Export",6,3.906
"H1","ALB","4817","Albania","WLD"," World",1998,"Export",6,5.801
"H1","ALB","4819","Albania","WLD"," World",1998,"Export",6,893.046
"H1","ALB","4820","Albania","WLD"," World",1998,"Export",6,35.031
"H1","ALB","4823","Albania","WLD"," World",1998,"Export",6,100.105
"H1","ALB","4901","Albania","WLD"," World",1998,"Export",6,9.146
"H1","ALB","4902","Albania","WLD"," World",1998,"Export",6,268.096
"H1","ALB","4907","Albania","WLD"," World",1998,"Export",6,1574.318
"H1","ALB","4911","Albania","WLD"," World",1998,"Export",6,0.675
"H1","ALB","5101","Albania","WLD"," World",1998,"Export",6,22.703
"H1","ALB","5105","Albania","WLD"," World",1998,"Export",6,17.833
"H1","ALB","5106","Albania","WLD"," World",1998,"Export",6,6.042
"H1","ALB","5107","Albania","WLD"," World",1998,"Export",6,11.278
"H1","ALB","5109","Albania","WLD"," World",1998,"Export",6,1.173
"H1","ALB","5204","Albania","WLD"," World",1998,"Export",6,0.09
"H1","ALB","5207","Albania","WLD"," World",1998,"Export",6,0.984
"H1","ALB","5208","Albania","WLD"," World",1998,"Export",6,68.548
"H1","ALB","5211","Albania","WLD"," World",1998,"Export",6,2.746
"H1","ALB","5301","Albania","WLD"," World",1998,"Export",6,0.662
"H1","ALB","5401","Albania","WLD"," World",1998,"Export",6,266.547
"H1","ALB","5513","Albania","WLD"," World",1998,"Export",6,0.141
"H1","ALB","5515","Albania","WLD"," World",1998,"Export",6,0.251
"H1","ALB","5516","Albania","WLD"," World",1998,"Export",6,10.935
"H1","ALB","5601","Albania","WLD"," World",1998,"Export",6,3.968
"H1","ALB","5602","Albania","WLD"," World",1998,"Export",6,1.072
"H1","ALB","5604","Albania","WLD"," World",1998,"Export",6,11.904
"H1","ALB","5607","Albania","WLD"," World",1998,"Export",6,10.746
"H1","ALB","5608","Albania","WLD"," World",1998,"Export",6,1.178
"H1","ALB","5701","Albania","WLD"," World",1998,"Export",6,0.758
"H1","ALB","5704","Albania","WLD"," World",1998,"Export",6,0.295
"H1","ALB","5801","Albania","WLD"," World",1998,"Export",6,19.292
"H1","ALB","5802","Albania","WLD"," World",1998,"Export",6,6.735
"H1","ALB","5804","Albania","WLD"," World",1998,"Export",6,51.558
"H1","ALB","5807","Albania","WLD"," World",1998,"Export",6,1.416
"H1","ALB","5808","Albania","WLD"," World",1998,"Export",6,30.578
"H1","ALB","5810","Albania","WLD"," World",1998,"Export",6,103.871
"H1","ALB","5904","Albania","WLD"," World",1998,"Export",6,0.372
"H1","ALB","5911","Albania","WLD"," World",1998,"Export",6,1.387
"H1","ALB","6001","Albania","WLD"," World",1998,"Export",6,3.338
"H1","ALB","6002","Albania","WLD"," World",1998,"Export",6,3.769
"H1","ALB","6101","Albania","WLD"," World",1998,"Export",6,119.083
"H1","ALB","6102","Albania","WLD"," World",1998,"Export",6,149.952
"H1","ALB","6103","Albania","WLD"," World",1998,"Export",6,1010.474
"H1","ALB","6104","Albania","WLD"," World",1998,"Export",6,684.712
"H1","ALB","6105","Albania","WLD"," World",1998,"Export",6,456.217
"H1","ALB","6106","Albania","WLD"," World",1998,"Export",6,451.809
"H1","ALB","6107","Albania","WLD"," World",1998,"Export",6,1113.615
"H1","ALB","6108","Albania","WLD"," World",1998,"Export",6,2945.714
"H1","ALB","6109","Albania","WLD"," World",1998,"Export",6,3751.405
"H1","ALB","6110","Albania","WLD"," World",1998,"Export",6,3493.782
"H1","ALB","6111","Albania","WLD"," World",1998,"Export",6,5500.45
"H1","ALB","6112","Albania","WLD"," World",1998,"Export",6,2897.746
"H1","ALB","6113","Albania","WLD"," World",1998,"Export",6,1.33
"H1","ALB","6114","Albania","WLD"," World",1998,"Export",6,135.585
"H1","ALB","6115","Albania","WLD"," World",1998,"Export",6,93.329
"H1","ALB","6116","Albania","WLD"," World",1998,"Export",6,5.774
"H1","ALB","6117","Albania","WLD"," World",1998,"Export",6,15.823
"H1","ALB","6201","Albania","WLD"," World",1998,"Export",6,364.553
"H1","ALB","6202","Albania","WLD"," World",1998,"Export",6,303.221
"H1","ALB","6203","Albania","WLD"," World",1998,"Export",6,15266.491
"H1","ALB","6204","Albania","WLD"," World",1998,"Export",6,2437.069
"H1","ALB","6205","Albania","WLD"," World",1998,"Export",6,14566.422
"H1","ALB","6206","Albania","WLD"," World",1998,"Export",6,1848.304
"H1","ALB","6207","Albania","WLD"," World",1998,"Export",6,411.862
"H1","ALB","6208","Albania","WLD"," World",1998,"Export",6,5215.817
"H1","ALB","6209","Albania","WLD"," World",1998,"Export",6,930.748
"H1","ALB","6210","Albania","WLD"," World",1998,"Export",6,201.779
"H1","ALB","6211","Albania","WLD"," World",1998,"Export",6,1899.215
"H1","ALB","6212","Albania","WLD"," World",1998,"Export",6,956.992
"H1","ALB","6213","Albania","WLD"," World",1998,"Export",6,14.832
"H1","ALB","6215","Albania","WLD"," World",1998,"Export",6,0.513
"H1","ALB","6217","Albania","WLD"," World",1998,"Export",6,185.621
"H1","ALB","6301","Albania","WLD"," World",1998,"Export",6,38.228
"H1","ALB","6302","Albania","WLD"," World",1998,"Export",6,89.127
"H1","ALB","6303","Albania","WLD"," World",1998,"Export",6,10.928
"H1","ALB","6304","Albania","WLD"," World",1998,"Export",6,127.874
"H1","ALB","6305","Albania","WLD"," World",1998,"Export",6,527.504
"H1","ALB","6306","Albania","WLD"," World",1998,"Export",6,18.861
"H1","ALB","6307","Albania","WLD"," World",1998,"Export",6,35.38
"H1","ALB","6309","Albania","WLD"," World",1998,"Export",6,39.57
"H1","ALB","6310","Albania","WLD"," World",1998,"Export",6,157.853
"H1","ALB","6401","Albania","WLD"," World",1998,"Export",6,123.075
"H1","ALB","6402","Albania","WLD"," World",1998,"Export",6,16.269
"H1","ALB","6403","Albania","WLD"," World",1998,"Export",6,4149.63
"H1","ALB","6404","Albania","WLD"," World",1998,"Export",6,0.57
"H1","ALB","6405","Albania","WLD"," World",1998,"Export",6,70.329
"H1","ALB","6406","Albania","WLD"," World",1998,"Export",6,36326.217
"H1","ALB","6601","Albania","WLD"," World",1998,"Export",6,114.522
"H1","ALB","6801","Albania","WLD"," World",1998,"Export",6,71.674
"H1","ALB","6802","Albania","WLD"," World",1998,"Export",6,23.327
"H1","ALB","6804","Albania","WLD"," World",1998,"Export",6,41.231
"H1","ALB","6805","Albania","WLD"," World",1998,"Export",6,12.166
"H1","ALB","6808","Albania","WLD"," World",1998,"Export",6,1.831
"H1","ALB","6809","Albania","WLD"," World",1998,"Export",6,0.638
"H1","ALB","6810","Albania","WLD"," World",1998,"Export",6,2.153
"H1","ALB","6815","Albania","WLD"," World",1998,"Export",6,6.393
"H1","ALB","6902","Albania","WLD"," World",1998,"Export",6,1.173
"H1","ALB","6904","Albania","WLD"," World",1998,"Export",6,1.163
"H1","ALB","6905","Albania","WLD"," World",1998,"Export",6,2.753
"H1","ALB","6907","Albania","WLD"," World",1998,"Export",6,1.765
"H1","ALB","6908","Albania","WLD"," World",1998,"Export",6,6.701
"H1","ALB","6909","Albania","WLD"," World",1998,"Export",6,62.293
"H1","ALB","6911","Albania","WLD"," World",1998,"Export",6,1361.816
"H1","ALB","6912","Albania","WLD"," World",1998,"Export",6,0.971
"H1","ALB","6913","Albania","WLD"," World",1998,"Export",6,21.074
"H1","ALB","6914","Albania","WLD"," World",1998,"Export",6,20.395
"H1","ALB","7002","Albania","WLD"," World",1998,"Export",6,1.227
"H1","ALB","7004","Albania","WLD"," World",1998,"Export",6,0.676
"H1","ALB","7010","Albania","WLD"," World",1998,"Export",6,36.326
"H1","ALB","7104","Albania","WLD"," World",1998,"Export",6,3.097
"H1","ALB","7107","Albania","WLD"," World",1998,"Export",6,2.876
"H1","ALB","7111","Albania","WLD"," World",1998,"Export",6,0.5
"H1","ALB","7112","Albania","WLD"," World",1998,"Export",6,0.372
"H1","ALB","7114","Albania","WLD"," World",1998,"Export",6,16.282
"H1","ALB","7115","Albania","WLD"," World",1998,"Export",6,2.293
"H1","ALB","7117","Albania","WLD"," World",1998,"Export",6,141.066
"H1","ALB","7201","Albania","WLD"," World",1998,"Export",6,9.575
"H1","ALB","7202","Albania","WLD"," World",1998,"Export",6,1498.241
"H1","ALB","7203","Albania","WLD"," World",1998,"Export",6,0.533
"H1","ALB","7204","Albania","WLD"," World",1998,"Export",6,6.821
