"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H1","ALB","0106","Albania","WLD"," World",1999,"Export",6,13.924
"H1","ALB","0201","Albania","WLD"," World",1999,"Export",6,3.188
"H1","ALB","0210","Albania","WLD"," World",1999,"Export",6,7.816
"H1","ALB","0301","Albania","WLD"," World",1999,"Export",6,14.233
"H1","ALB","0302","Albania","WLD"," World",1999,"Export",6,873.854
"H1","ALB","0303","Albania","WLD"," World",1999,"Export",6,1.9
"H1","ALB","0305","Albania","WLD"," World",1999,"Export",6,177.788
"H1","ALB","0306","Albania","WLD"," World",1999,"Export",6,98.681
"H1","ALB","0307","Albania","WLD"," World",1999,"Export",6,1873.332
"H1","ALB","0401","Albania","WLD"," World",1999,"Export",6,22.94
"H1","ALB","0402","Albania","WLD"," World",1999,"Export",6,2.632
"H1","ALB","0409","Albania","WLD"," World",1999,"Export",6,9.968
"H1","ALB","0508","Albania","WLD"," World",1999,"Export",6,314.808
"H1","ALB","0601","Albania","WLD"," World",1999,"Export",6,20.659
"H1","ALB","0602","Albania","WLD"," World",1999,"Export",6,9.307
"H1","ALB","0604","Albania","WLD"," World",1999,"Export",6,10.185
"H1","ALB","0702","Albania","WLD"," World",1999,"Export",6,9.395
"H1","ALB","0703","Albania","WLD"," World",1999,"Export",6,0.053
"H1","ALB","0708","Albania","WLD"," World",1999,"Export",6,367.413
"H1","ALB","0710","Albania","WLD"," World",1999,"Export",6,0.579
"H1","ALB","0712","Albania","WLD"," World",1999,"Export",6,26.793
"H1","ALB","0713","Albania","WLD"," World",1999,"Export",6,512.185
"H1","ALB","0802","Albania","WLD"," World",1999,"Export",6,14.852
"H1","ALB","0805","Albania","WLD"," World",1999,"Export",6,4.826
"H1","ALB","0807","Albania","WLD"," World",1999,"Export",6,3.378
"H1","ALB","0809","Albania","WLD"," World",1999,"Export",6,66.422
"H1","ALB","0901","Albania","WLD"," World",1999,"Export",6,64.909
"H1","ALB","0910","Albania","WLD"," World",1999,"Export",6,487.914
"H1","ALB","1001","Albania","WLD"," World",1999,"Export",6,19.474
"H1","ALB","1006","Albania","WLD"," World",1999,"Export",6,30.773
"H1","ALB","1101","Albania","WLD"," World",1999,"Export",6,244.685
"H1","ALB","1209","Albania","WLD"," World",1999,"Export",6,109.526
"H1","ALB","1210","Albania","WLD"," World",1999,"Export",6,9.437
"H1","ALB","1211","Albania","WLD"," World",1999,"Export",6,10366.103
"H1","ALB","1212","Albania","WLD"," World",1999,"Export",6,10.371
"H1","ALB","1214","Albania","WLD"," World",1999,"Export",6,10.58
"H1","ALB","1302","Albania","WLD"," World",1999,"Export",6,89.578
"H1","ALB","1509","Albania","WLD"," World",1999,"Export",6,164.837
"H1","ALB","1512","Albania","WLD"," World",1999,"Export",6,80.096
"H1","ALB","1515","Albania","WLD"," World",1999,"Export",6,38.819
"H1","ALB","1516","Albania","WLD"," World",1999,"Export",6,73.196
"H1","ALB","1602","Albania","WLD"," World",1999,"Export",6,1.93
"H1","ALB","1604","Albania","WLD"," World",1999,"Export",6,5512.376
"H1","ALB","1701","Albania","WLD"," World",1999,"Export",6,111.909
"H1","ALB","1702","Albania","WLD"," World",1999,"Export",6,10.832
"H1","ALB","1704","Albania","WLD"," World",1999,"Export",6,9.847
"H1","ALB","1902","Albania","WLD"," World",1999,"Export",6,26.676
"H1","ALB","1904","Albania","WLD"," World",1999,"Export",6,125.446
"H1","ALB","1905","Albania","WLD"," World",1999,"Export",6,282.884
"H1","ALB","2002","Albania","WLD"," World",1999,"Export",6,33.482
"H1","ALB","2003","Albania","WLD"," World",1999,"Export",6,7.194
"H1","ALB","2005","Albania","WLD"," World",1999,"Export",6,10.439
"H1","ALB","2007","Albania","WLD"," World",1999,"Export",6,11.342
"H1","ALB","2008","Albania","WLD"," World",1999,"Export",6,27.621
"H1","ALB","2009","Albania","WLD"," World",1999,"Export",6,87.489
"H1","ALB","2101","Albania","WLD"," World",1999,"Export",6,2.746
"H1","ALB","2103","Albania","WLD"," World",1999,"Export",6,175.239
"H1","ALB","2106","Albania","WLD"," World",1999,"Export",6,3.988
"H1","ALB","2201","Albania","WLD"," World",1999,"Export",6,35.694
"H1","ALB","2202","Albania","WLD"," World",1999,"Export",6,719.455
"H1","ALB","2203","Albania","WLD"," World",1999,"Export",6,1.885
"H1","ALB","2204","Albania","WLD"," World",1999,"Export",6,15.39
"H1","ALB","2208","Albania","WLD"," World",1999,"Export",6,4.2
"H1","ALB","2309","Albania","WLD"," World",1999,"Export",6,0.68
"H1","ALB","2401","Albania","WLD"," World",1999,"Export",6,1840.404
"H1","ALB","2402","Albania","WLD"," World",1999,"Export",6,52.629
"H1","ALB","2403","Albania","WLD"," World",1999,"Export",6,4961.894
"H1","ALB","2501","Albania","WLD"," World",1999,"Export",6,2.524
"H1","ALB","2505","Albania","WLD"," World",1999,"Export",6,2.857
"H1","ALB","2507","Albania","WLD"," World",1999,"Export",6,0.043
"H1","ALB","2508","Albania","WLD"," World",1999,"Export",6,1.568
"H1","ALB","2513","Albania","WLD"," World",1999,"Export",6,0.561
"H1","ALB","2514","Albania","WLD"," World",1999,"Export",6,2.002
"H1","ALB","2515","Albania","WLD"," World",1999,"Export",6,66.849
"H1","ALB","2516","Albania","WLD"," World",1999,"Export",6,41.034
"H1","ALB","2517","Albania","WLD"," World",1999,"Export",6,1.182
"H1","ALB","2520","Albania","WLD"," World",1999,"Export",6,1.331
"H1","ALB","2522","Albania","WLD"," World",1999,"Export",6,5.784
"H1","ALB","2523","Albania","WLD"," World",1999,"Export",6,17.503
"H1","ALB","2601","Albania","WLD"," World",1999,"Export",6,6004.447
"H1","ALB","2610","Albania","WLD"," World",1999,"Export",6,3658.658
"H1","ALB","2611","Albania","WLD"," World",1999,"Export",6,14.912
"H1","ALB","2616","Albania","WLD"," World",1999,"Export",6,0.386
"H1","ALB","2617","Albania","WLD"," World",1999,"Export",6,12.62
"H1","ALB","2620","Albania","WLD"," World",1999,"Export",6,162.358
"H1","ALB","2621","Albania","WLD"," World",1999,"Export",6,28.796
"H1","ALB","2701","Albania","WLD"," World",1999,"Export",6,2.603
"H1","ALB","2706","Albania","WLD"," World",1999,"Export",6,1.763
"H1","ALB","2707","Albania","WLD"," World",1999,"Export",6,629.346
"H1","ALB","2708","Albania","WLD"," World",1999,"Export",6,6.601
"H1","ALB","2709","Albania","WLD"," World",1999,"Export",6,6242.375
"H1","ALB","2710","Albania","WLD"," World",1999,"Export",6,441.872
"H1","ALB","2711","Albania","WLD"," World",1999,"Export",6,12.744
"H1","ALB","2712","Albania","WLD"," World",1999,"Export",6,1.641
"H1","ALB","2713","Albania","WLD"," World",1999,"Export",6,225.25
"H1","ALB","2714","Albania","WLD"," World",1999,"Export",6,41.102
"H1","ALB","2715","Albania","WLD"," World",1999,"Export",6,3.681
"H1","ALB","2802","Albania","WLD"," World",1999,"Export",6,0.963
"H1","ALB","2804","Albania","WLD"," World",1999,"Export",6,37.228
"H1","ALB","2807","Albania","WLD"," World",1999,"Export",6,5.888
"H1","ALB","2811","Albania","WLD"," World",1999,"Export",6,148.617
"H1","ALB","2903","Albania","WLD"," World",1999,"Export",6,18.196
"H1","ALB","3002","Albania","WLD"," World",1999,"Export",6,0.002
"H1","ALB","3003","Albania","WLD"," World",1999,"Export",6,36.03
"H1","ALB","3004","Albania","WLD"," World",1999,"Export",6,24.13
"H1","ALB","3214","Albania","WLD"," World",1999,"Export",6,39.06
