"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H1","ANT","0101","Netherlands Antilles","WLD"," World",2007,"Export",6,2.068
"H1","ANT","0104","Netherlands Antilles","WLD"," World",2007,"Export",6,1.536
"H1","ANT","0105","Netherlands Antilles","WLD"," World",2007,"Export",6,1.575
"H1","ANT","0106","Netherlands Antilles","WLD"," World",2007,"Export",6,17.608
"H1","ANT","0203","Netherlands Antilles","WLD"," World",2007,"Export",6,17.518
"H1","ANT","0204","Netherlands Antilles","WLD"," World",2007,"Export",6,3.476
"H1","ANT","0206","Netherlands Antilles","WLD"," World",2007,"Export",6,11.991
"H1","ANT","0207","Netherlands Antilles","WLD"," World",2007,"Export",6,637.279
"H1","ANT","0209","Netherlands Antilles","WLD"," World",2007,"Export",6,2.56
"H1","ANT","0210","Netherlands Antilles","WLD"," World",2007,"Export",6,5.193
"H1","ANT","0301","Netherlands Antilles","WLD"," World",2007,"Export",6,68.642
"H1","ANT","0302","Netherlands Antilles","WLD"," World",2007,"Export",6,6.033
"H1","ANT","0306","Netherlands Antilles","WLD"," World",2007,"Export",6,4.868
"H1","ANT","0307","Netherlands Antilles","WLD"," World",2007,"Export",6,0.193
"H1","ANT","0401","Netherlands Antilles","WLD"," World",2007,"Export",6,3.069
"H1","ANT","0402","Netherlands Antilles","WLD"," World",2007,"Export",6,257.497
"H1","ANT","0403","Netherlands Antilles","WLD"," World",2007,"Export",6,21.593
"H1","ANT","0405","Netherlands Antilles","WLD"," World",2007,"Export",6,1.244
"H1","ANT","0406","Netherlands Antilles","WLD"," World",2007,"Export",6,1131.577
"H1","ANT","0409","Netherlands Antilles","WLD"," World",2007,"Export",6,12.597
"H1","ANT","0511","Netherlands Antilles","WLD"," World",2007,"Export",6,0.003
"H1","ANT","0602","Netherlands Antilles","WLD"," World",2007,"Export",6,0.227
"H1","ANT","0604","Netherlands Antilles","WLD"," World",2007,"Export",6,37.708
"H1","ANT","0707","Netherlands Antilles","WLD"," World",2007,"Export",6,2.004
"H1","ANT","0709","Netherlands Antilles","WLD"," World",2007,"Export",6,4.402
"H1","ANT","0711","Netherlands Antilles","WLD"," World",2007,"Export",6,0.007
"H1","ANT","0712","Netherlands Antilles","WLD"," World",2007,"Export",6,1.627
"H1","ANT","0713","Netherlands Antilles","WLD"," World",2007,"Export",6,1.631
"H1","ANT","0802","Netherlands Antilles","WLD"," World",2007,"Export",6,0.751
"H1","ANT","0806","Netherlands Antilles","WLD"," World",2007,"Export",6,2.879
"H1","ANT","0808","Netherlands Antilles","WLD"," World",2007,"Export",6,0.058
"H1","ANT","0810","Netherlands Antilles","WLD"," World",2007,"Export",6,0.223
"H1","ANT","0811","Netherlands Antilles","WLD"," World",2007,"Export",6,12.164
"H1","ANT","0813","Netherlands Antilles","WLD"," World",2007,"Export",6,0.325
