code_prod_arg,HS_code,HS_description,code_1719,code_0709,code_9799,vcr_1719,vcr_0709,vcr_9799,sum_vcr
1211,1211,"Plants and parts of plants (including seeds and fruits), of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh or dried, whether or not cut, crushed or powdered.",,,1211.0,0,0,1,1
1214,1214,"Swedes, mangolds, fodder roots, hay, lucerne (alfalfa), clover, sainfoin, forage kale, lupines, vetches and similar forage products, whether or not in the form of pellets.",1214.0,,,1,0,0,1
1301,1301,"Lac; natural gums, resins, gum-resins and oleoresins (for example, balsams).",1301.0,,,1,0,0,1
1401,1401,"Vegetable materials of a kind used primarily for plaiting (for example, bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw, and lime bark).",1401.0,1401.0,1401.0,1,1,1,3
1501,1501,"Pig fat (including lard) and poultry fat, other than that of heading No. 02.09 or 15.03.",,,1501.0,0,0,1,1
1502,1502,"Fats of bovine animals, sheep or goats, other than those of heading No. 15.03.",1502.0,1502.0,1502.0,1,1,1,3
1503,1503,"Lard stearin, lard oil, oleostearin, oleo-oil and tallow oil, not emulsified or mixed or otherwise prepared.",1503.0,1503.0,1503.0,1,1,1,3
1505,1505,Wool grease and fatty substances derived therefrom (including lanolin).,1505.0,1505.0,,1,1,0,2
1507,1507,"Soya-bean oil and its fractions, whether or not refined, but not chemically modified.",1507.0,1507.0,1507.0,1,1,1,3
1508,1508,"Ground-nut oil and its fractions, whether or not refined, but not chemically modified.",1508.0,1508.0,1508.0,1,1,1,3
1509,1509,"Olive oil and its fractions, whether or not refined, but not chemically modified.",1509.0,1509.0,1509.0,1,1,1,3
1512,1512,"Sunflower-seed, safflower or cotton-seed oil and fractions thereof, whether or not refined, but not chemically modified.",1512.0,1512.0,1512.0,1,1,1,3
1515,1515,"Other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified.",1515.0,1515.0,1515.0,1,1,1,3
1517,1517,"Margarine; edible mixtures or preparations of animal or vegetable fats or oils or of fractions of different fats or oils of this Chapter, other than edible fats or oils or their fractions of heading No. 15.16.",1517.0,1517.0,1517.0,1,1,1,3
1518,1518,"Animal or vegetable fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, blown, polymerised by beat in vacuum or in inert gas or otherwise chemically modified, excluding those of heading No.15.16; inedible mixtu",1518.0,1518.0,,1,1,0,2
1520,1520,"Glycerol, crude; glycerol waters and glycerol lyes.",1520.0,1520.0,,1,1,0,2
1521,1521,"Vegetable waxes (other than triglycerides), beeswax, other insect waxes and spermaceti, whether or not refined or coloured.",1521.0,1521.0,1521.0,1,1,1,3
1522,1522,Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes.,,,1522.0,0,0,1,1
1602,1602,"Other prepared or preserved meat, meat offal or blood.",1602.0,1602.0,1602.0,1,1,1,3
1603,1603,"Extracts and juices of meat, fish or crustaceans, molluscs or other aquatic invertebrates.",,1603.0,1603.0,0,1,1,2
1604,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs.,,,1604.0,0,0,1,1
1701,1701,"Cane or beet sugar and chemically pure sucrose, in solid form.",1701.0,1701.0,1701.0,1,1,1,3
1702,1702,"Other sugars, including chemically pure lactose, maltose, glucose and fructose, in solid form; sugar syrups not containing added flavouring or colouring matter; artificial honey, whether or not mixed with natural honey;",,1702.0,1702.0,0,1,1,2
1704,1704,"Sugar confectionery (including white chocolate), not containing cocoa.",,1704.0,1704.0,0,1,1,2
1806,1806,Chocolate and other food preparations containing cocoa.,,1806.0,1806.0,0,1,1,2
1901,1901,"Malt extract; food preparations of flour, meal, starch or malt extract, not containing cocoa or containing less then 40% by weight of cocoa calculated on a totally deffated basis, not elsewhere specified or including; food preparations",1901.0,1901.0,,1,1,0,2
1902,1902,"Pasta, whether or not cooked or stuffed (with meat or other substances) or otherwise prepared, such as spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not prepared.",,,1902.0,0,0,1,1
1905,1905,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.",,,1905.0,0,0,1,1
2004,2004,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading No. 20.06.",2004.0,2004.0,2004.0,1,1,1,3
2005,2005,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading No. 20.06.",2005.0,2005.0,2005.0,1,1,1,3
2007,2007,"Jams, fruit jellies, marmalades, fruit or nut pure and fruit or nut pastes, being cooked preparations, whether or not containing added sugar or other sweetening matter.",2007.0,2007.0,2007.0,1,1,1,3
2008,2008,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included.",2008.0,2008.0,2008.0,1,1,1,3
2009,2009,"Fruit juices (including grape must) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter.",2009.0,2009.0,2009.0,1,1,1,3
2102,2102,"Yeasts (active or inactive); other single-cell micro-organisms, dead (but not including vaccines of heading No 30.02); prepared baking powders.",2102.0,2102.0,,1,1,0,2
2103,2103,Sauces and preparations therefor; mixed condiments and mixed seasonings; mustard flour and meal and prepared mustard.,,,2103.0,0,0,1,1
2104,2104,Soups and broths and preparations therefor; homogenised composite food preparations.,,,2104.0,0,0,1,1
2106,2106,Food preparations not elsewhere specified or included.,,,2106.0,0,0,1,1
2202,2202,"Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured, and other non-alcoholic beverages, not including fruit or vegetable juices of heading No. 20.09.",,,2202.0,0,0,1,1
2204,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading No. 20.09.",2204.0,2204.0,2204.0,1,1,1,3
2206,2206,"Other fermented beverages (for example, cider, perry, mead); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, not elsewhere specified or included.",2206.0,,2206.0,1,0,1,2
2207,2207,"Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher; ethyl alcohol and other spirits, denatured, of any strength.",,2207.0,2207.0,0,1,1,2
2301,2301,"Flours, meals and pellets, of meat or meat offal, of fish or of crustaceans, molluscs or other aquatic invertebrates, unfit for human consumption; greaves.",2301.0,2301.0,2301.0,1,1,1,3
2302,2302,"Bran, sharps and other residues, whether or not in the form of pellets, derived from the sifting, milling or other working of cereals or of leguminous plants.",2302.0,2302.0,2302.0,1,1,1,3
