code_prod_arg,HS_code,HS_description,code_1719,code_0709,code_9799,vcr_1719,vcr_0709,vcr_9799,sum_vcr
3202,3202,"Synthetic organic tanning substances; inorganic tanning substances; tanning preparations, whether or not containing natural tanning substances; enzymatic preparations for pre-tanning.",3202.0,3202.0,3202.0,1,1,1,3
3211,3211,Prepared driers.,,3211.0,3211.0,0,1,1,2
3301,3301,"Essentials oils (terpeneless or not), including concretes and absolutes; resinoids; extracted oleoresins; concentrates of essential oils in fats, in fixed oils, in waxes or the like, obtained by enfleurage or maceration; terpenic by-pro",3301.0,3301.0,3301.0,1,1,1,3
3302,3302,"Mixtures of odoriferous substances and mixtures (including alcoholic solutions) with a basis of one or more of these substances, of a kind used as raw materials in industry; other preparations based on odoriferous substances, of a kind",3302.0,,,1,0,0,1
3305,3305,Preparations for use on the hair.,3305.0,3305.0,3305.0,1,1,1,3
3307,3307,"Pre-shave, shaving or after-shave preparations, personal deodorants, bath preparations, depilatories and other perfumery, cosmetic or toilet preparations, not elsewhere specified or included ; prepared room deodorisers, whether or not p",3307.0,3307.0,3307.0,1,1,1,3
3401,3401,"Soap; organic surface-active products and preparations for use as soap, in the form of bars, cakes, moulded pieces or shapes, whether or not containing soap; paper, wadding, felt and nonwovens, impregnated, coated or covered",,,3401.0,0,0,1,1
3403,3403,"Lubricating preparations (including cutting-oil preparations, bolt or nut release preparations, anti-rust or anti-corrosion preparations and mould release preparations, based on lubricants) and preparations of a kind used for the oil or",,,3403.0,0,0,1,1
3405,3405,"Polishes and creams, for footwear, furniture, floors, coachwork, glass or metal, scouring pastes and powders and similar preparations (whether or not in the form of paper, wadding, felt, nonwovens, cellular plastics or cellular rubber,",3405.0,3405.0,3405.0,1,1,1,3
3501,3501,"Casein, caseinates and other casein derivatives; casein glues.",3501.0,3501.0,,1,1,0,2
3502,3502,"Albumins (including concentrates of two or more whey proteins, containing by weight more than 80 % whey proteins, calculated on the dry matter), albuminates and other albumin derivatives.",3502.0,3502.0,3502.0,1,1,1,3
3503,3503,"Gelatin (including gelatin in rectangular (including square) sheets, whether or not surface-worked or coloured) and gelatin derivatives; isinglass; other glues of animal origin, excluding casein glues of heading No. 35.01.",3503.0,3503.0,3503.0,1,1,1,3
3506,3506,"Prepared glues and other prepared adhesives, not elsewhere specified or included; products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding a net weight of 1 kg.",,3506.0,3506.0,0,1,1,2
3507,3507,Enzymes; prepared enzymes not elsewhere specified or included.,3507.0,3507.0,3507.0,1,1,1,3
3602,3602,"Prepared explosives, other than propellent powders.",3602.0,3602.0,3602.0,1,1,1,3
3702,3702,"Photographic film in rolls, sensitised, unexposed, of any material other than paper, paperboard or textiles; instant print film in rolls, sensitised, unexposed.",,3702.0,,0,1,0,1
3706,3706,"Cinematographic film, exposed and developed, whether or not incorporating sound track or consisting only of sound track.",,3706.0,3706.0,0,1,1,2
3801,3801,"Artificial graphite; colloidal or semi-colloidal graphite; preparations based on graphite or other carbon in the form of pastes, blocks, plates or other semi-manufactures.",,3801.0,,0,1,0,1
3805,3805,"Gum, wood or sulphate turpentine and other terpenic oils produced by the distillation or other treatment of coniferous woods; crude dipentene; sulphite turpentine and other crude para-cymene; pine oil containing alpha-terpine",3805.0,3805.0,3805.0,1,1,1,3
3806,3806,"Rosin and resin acids, and derivatives thereof; rosin spirit and rosin oils; run gums.",3806.0,3806.0,3806.0,1,1,1,3
3808,3808,"Insecticides, rodenticides, fungicides, herbicides, anti-sprouting products and plant-growth regulators, disinfectants and similar products, put up in forms or packings for retail sale or as preparations or articles (for examp. sulphur-",3808.0,3808.0,3808.0,1,1,1,3
3812,3812,"Prepared rubber accelerators; compound plasticisers for rubber or plastics, not elsewhere specified or included; anti-oxidising preparations and other compound stabilisers for rubber or plastics.",3812.0,3812.0,,1,1,0,2
3815,3815,"Reaction initiators, reaction accelerators and catalytic preparations, not elsewhere specified or included.",,3815.0,,0,1,0,1
3817,3817,"Mixed alkylbenzenes and mixed alkylnaphthalenes, other than those of heading No. 27.07 or 29.02.",3817.0,3817.0,3817.0,1,1,1,3
3823,3823,Industrial monocarboxylic fatty acids; acid oils from refining; industrial fatty alcohols.,3823.0,3823.0,3823.0,1,1,1,3
3824,3824,"Prepared binders for foundry moulds or cores; chemical products and preparations of the chemical or allied industries (including those consisting of mixtures of natural products), not elsewhere specified or included; residual products o",3824.0,3824.0,,1,1,0,2
3901,3901,"Polymers of ethylene, in primary forms.",,3901.0,,0,1,0,1
3904,3904,"Polymers of vinyl chloride or of other halogenated olefins, in primary forms.",,3904.0,,0,1,0,1
3908,3908,Polyamides in primary forms.,,3908.0,,0,1,0,1
3913,3913,"Natural polymers (for example, alginic acid) and modified natural polymers (for example, hardened proteins, chemical derivatives of natural rubber), not elsewhere specified or included, in primary forms.",3913.0,3913.0,3913.0,1,1,1,3
3915,3915,"Waste, parings and scrap, of plastics.",,3915.0,,0,1,0,1
4010,4010,"Conveyor or transmission belts or belting, of vulcanised rubber.",,4010.0,,0,1,0,1
4101,4101,"Raw hides and skins of bovine or equine animals (fresh, or salted, dried, limed, pickled or otherwide preserved, but not tanned, parchment-dressed or further prepared), whether or not dehaired or split.",4101.0,,,1,0,0,1
4104,4104,"Leather of bovine or equine animals, without hair on, other than leather of heading No. 41.08 or 41.09.",4104.0,4104.0,4104.0,1,1,1,3
4106,4106,"Goat or kid skin leather, without hair on, other than leather of heading No. 41.08 or 41.09.",,,4106.0,0,0,1,1
4110,4110,"Parings and other waste of leather or of composition leather, not suitable for the manufacture of leather articles; leather dust, powder and flour.",,4110.0,,0,1,0,1
4111,4111,"Composition leather with a basis of leather or leather fibre, in slabs, sheets or strip, whether or not in rolls.",4111.0,4111.0,,1,1,0,2
4201,4201,"Saddlery and harness for any animal (including traces, leads, knee pads, muzzles, saddle cloths, saddle bags, dog coats and the like), of any material.",4201.0,4201.0,4201.0,1,1,1,3
4205,4205,Other articles of leather or of composition leather.,,4205.0,4205.0,0,1,1,2
4206,4206,"Articles of gut (other than silk-worm gut), of goldbeater's skin, of bladders or of tendons.",4206.0,4206.0,,1,1,0,2
4302,4302,"Tanned or dressed furskins (including heads, tails, paws and other pieces or cuttings), unassembled, or assembled (without the addition of other materials) other than those of heading No. 43.03.",4302.0,4302.0,4302.0,1,1,1,3
4303,4303,"Articles of apparel, clothing accessories and other articles of furskin.",,,4303.0,0,0,1,1
4402,4402,"Wood charcoal (including shell or nut charcoal), whether or not agglomerated.",4402.0,4402.0,4402.0,1,1,1,3
4409,4409,"Wood (including strips and friezes for parquet flooring, not assembled) continuously shaped (tongued, grooved, grooved, rebated, chamfered, V-jlinted, beaded, moulded, rounded or the like) along any of its edges or faces, whether or not",4409.0,4409.0,,1,1,0,2
4411,4411,"Fibreboard of wood or other ligneous materials, whether or not bonded with resins or other organic substances.",,4411.0,4411.0,0,1,1,2
4417,4417,"Tools, tool bodies, tool handles, broom or brush bodies and handles, of wood; boot or shoe lasts and trees, of wood.",,4417.0,,0,1,0,1
4703,4703,"Chemical wood pulp, soda or sulphate, other than dissolving grades.",4703.0,4703.0,4703.0,1,1,1,3
4811,4811,"Paper, paperboard, cellulose wadding and webs of cellulose fibres, coated, impregnated, covered, surface-coloured, surface-decorated or printed, in rolls or sheets, other than goods of the kind described in heading No.",4811.0,,,1,0,0,1
4812,4812,"Filter blocks, slabs and plates, of paper pulp.",,,4812.0,0,0,1,1
4813,4813,"Cigarette paper, whether or not cut to size or in the form of booklets or tubes.",,4813.0,,0,1,0,1
4818,4818,"Toilet paper and similar paper, cellulose wadding or webs of cellulose fibres, of a kind used for household or sanitary purposes, in rolls of a width not exceeding 36cm, or cut to size or shape; handkerchiefs, cleansing tissues, towels,",,4818.0,4818.0,0,1,1,2
4901,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets.",,,4901.0,0,0,1,1
4902,4902,"Newspapers, journals and periodicals, whether or not illustrated or containing advertising material.",,,4902.0,0,0,1,1
5101,5101,"Wool, not carded or combed.",5101.0,5101.0,5101.0,1,1,1,3
5102,5102,"Fine or coarse animal hair, not carded or combed.",,5102.0,5102.0,0,1,1,2
5103,5103,"Waste of wool or of fine or coarse animal hair, including yarn waste but excluding garnetted stock.",5103.0,5103.0,5103.0,1,1,1,3
5105,5105,"Wool and fine or coarse animal hair, carded or combed (including combed wool in fragments).",5105.0,5105.0,5105.0,1,1,1,3
5201,5201,"Cotton, not carded or combed.",5201.0,,5201.0,1,0,1,2
5202,5202,Cotton waste (including yarn waste and garnetted stock).,5202.0,5202.0,5202.0,1,1,1,3
5402,5402,"Synthetic filament yarn (other than sewing thread), not put up for retail sale, including synthetic monofilament of less than 67 decitex.",,,5402.0,0,0,1,1
5404,5404,Synthetic monofilament of 67 decitex or more and of which no cross-sectional dimension exceeds 1 mm; strip and the,,,5404.0,0,0,1,1
5501,5501,Synthetic filament tow.,,,5501.0,0,0,1,1
5506,5506,"Synthetic staple fibres, carded, combed or otherwise processed for spinning.",,,5506.0,0,0,1,1
5603,5603,"Nonwovens, whether or not impregnated, coated, covered or laminated.",,5603.0,,0,1,0,1
5802,5802,"Terry towelling and similar woven terry fabrics, other than narrow fabrics of heading No. 58.06; tufted textile fabrics, other than products of heading No. 57.03.",,5802.0,,0,1,0,1
5803,5803,"Gauze, other than narrow fabrics of heading No. 58.06.",5803.0,5803.0,,1,1,0,2
5902,5902,"Tyre cord fabric of high tenacity yarn of nylon or other polyamides, polyesters or viscose rayon.",,5902.0,5902.0,0,1,1,2
6404,6404,"Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of textile materials.",,,6404.0,0,0,1,1
6807,6807,"Articles of asphalt or of similar material (for example, petroleum bitumen or coal tar pitch).",6807.0,6807.0,6807.0,1,1,1,3
6809,6809,Articles of plaster or of compositions based on plaster.,6809.0,6809.0,,1,1,0,2
6907,6907,"Unglazed ceramic flags and paving, hearth or wall tiles; unglazed ceramic mosaic cubes and the like, whether or not",,6907.0,,0,1,0,1
6908,6908,"Glazed ceramic flags and paving, hearth or wall tiles; glazed ceramic mosaic cubes and the like, whether or not on a backing.",6908.0,,6908.0,1,0,1,2
7003,7003,"Cast glass and rolled glass, in sheets or profiles, whether or not having an absorbent, reflecting or non-reflecting layer, but not otherwise worked.",,7003.0,7003.0,0,1,1,2
7106,7106,"Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder form.",7106.0,7106.0,,1,1,0,2
7108,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form.",7108.0,7108.0,,1,1,0,2
7201,7201,"Pig iron and spiegeleisen in pigs, blocks or other primary forms.",,,7201.0,0,0,1,1
7209,7209,"Flat-rolled products of iron or non-alloy steel, of a width of 600 mm or more, cold-rolled (cold-reduced), not clad, plated or coated.",,,7209.0,0,0,1,1
7213,7213,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel.",,,7213.0,0,0,1,1
7214,7214,"Other bars and rods of iron or non-alloy steel, not further worked than forged, hot-rolled, hot-drawn or hot-extruded, but including those twisted after rolling.",,,7214.0,0,0,1,1
7224,7224,Other alloy steel in ingots or other primary forms; semi-finished products of other alloy steel.,,7224.0,,0,1,0,1
7229,7229,Wire of other alloy steel.,,7229.0,,0,1,0,1
7304,7304,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel.",7304.0,7304.0,7304.0,1,1,1,3
7305,7305,"Other tubes and pipes (for example, welded, riveted or similarly closed), having circular cross-sections, the external diameter of which exceeds 406.4 mm, of iron or steel.",,,7305.0,0,0,1,1
7311,7311,"Containers for compressed or liquefied gas, of iron or steel.",,7311.0,7311.0,0,1,1,2
7601,7601,Unwrought aluminium.,7601.0,7601.0,7601.0,1,1,1,3
7605,7605,Aluminium wire.,7605.0,7605.0,7605.0,1,1,1,3
7609,7609,"Aluminium tube or pipe fittings (for example, couplings, elbows, sleeves).",,7609.0,,0,1,0,1
7612,7612,"Aluminium casks, drums, cans, boxes and similar containers (including rigid or collapsible tubular containers), for any material (other than compressed or liquefied gas), of a capacity not exceeding 300 l, whether or not lined or heat-i",,7612.0,,0,1,0,1
7614,7614,"Stranded wire, cables, plaited bands and the like, of aluminium, not electrically insulated.",,7614.0,7614.0,0,1,1,2
7801,7801,Unwrought lead.,7801.0,7801.0,,1,1,0,2
8204,8204,"Hand-operated spanners and wrenches (including torque meter wrenches but not including tap wrenches); interchangeable spanner sockets, with or without handles.",,8204.0,8204.0,0,1,1,2
8311,8311,"Wire, rods, tubes, plates, electrodes and similar products, of base metal or of metal carbides, coated or cored with flux material, of a kind used for soldering, brazing, welding or deposition of metal or of metal carbides; wire and rod",,,8311.0,0,0,1,1
8408,8408,Compression-ignition internal combustion piston engines (diesel or semi-diesel engines).,8408.0,,,1,0,0,1
8410,8410,"Hydraulic turbines, water wheels, and regulators therefor.",,8410.0,8410.0,0,1,1,2
